query_id,场景,数据属性,源法域,目标法域,操作类型,记录数,时间,风险得分(0-1，可两位小数),风险等级(低/中/高),标注把握度(高/中/低),备注
GBAMC-DRAFT-0449,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,13597,2024-02-27,,,,
GBAMC-DRAFT-0418,gba_telemedicine,诊断记录（ICD-10）；孕产记录；检验检查数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,19425,2024-05-01,,,,
GBAMC-DRAFT-0406,gba_telemedicine,诊断记录（ICD-10）；孕产记录；检验检查数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,10348,2024-07-24,,,,
GBAMC-DRAFT-0429,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,961,2025-01-23,,,,
GBAMC-DRAFT-0397,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,4641,2024-04-20,,,,
GBAMC-DRAFT-0379,gba_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,5216,2024-05-02,,,,
GBAMC-DRAFT-0450,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,9164,2025-01-15,,,,
GBAMC-DRAFT-0366,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,10169,2024-10-16,,,,
GBAMC-DRAFT-0462,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,16003,2024-02-16,,,,
GBAMC-DRAFT-0380,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,879,2024-06-15,,,,
GBAMC-DRAFT-0452,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,14186,2024-06-23,,,,
GBAMC-DRAFT-0427,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,6076,2024-11-14,,,,
GBAMC-DRAFT-0403,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,9361,2024-10-23,,,,
GBAMC-DRAFT-0393,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,10360,2024-02-11,,,,
GBAMC-DRAFT-0473,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,5944,2024-06-17,,,,
GBAMC-DRAFT-0425,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,8493,2024-10-25,,,,
GBAMC-DRAFT-0361,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,11629,2024-06-10,,,,
GBAMC-DRAFT-0424,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,2731,2024-09-13,,,,
GBAMC-DRAFT-0475,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,2645,2024-12-11,,,,
GBAMC-DRAFT-0386,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,19497,2024-12-25,,,,
GBAMC-DRAFT-0103,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,54294,2024-07-27,,,,
GBAMC-DRAFT-0113,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,53130,2024-10-15,,,,
GBAMC-DRAFT-0112,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,51441,2024-01-19,,,,
GBAMC-DRAFT-0058,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,22187,2024-02-20,,,,
GBAMC-DRAFT-0042,hk_to_cn_ai_training,诊断记录（ICD-10）；孕产记录；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,11468,2024-11-27,,,,
GBAMC-DRAFT-0079,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,73749,2025-01-01,,,,
GBAMC-DRAFT-0002,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK,CN,model_training,60338,2024-04-10,,,,
