query_id,场景,数据属性,流向,操作类型,系统给出的结论,法律有效性(1-5),业务效用(1-5),是否过度保守(是/否),遗漏的关键规范(可留空),修改建议(可留空)
GBAMC-DRAFT-0304,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港跨境提供药物警戒数据，含诊断、内分泌、检验检查、用药记录及不良事件报告，属敏感个人信息出境。累计80401人，未达10万一般个人信息门槛，但敏感个人信息超1万人，应走安全评估路径；GBA标准合同数量豁免存在争议，暂按并存处理。同时需履行PIPL第39条告知单独同意、GBA备案及香港PDPO保障资料原则。,,,,,
GBAMC-DRAFT-0344,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；基因测序数据；用药记录,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息。内地出境路径、GBA标准合同指引、人类遗传资源备案与香港PDPO并行适用；GBA数量豁免与《促进规定》门槛存在待统一分歧，按并存处理。,,,,,
GBAMC-DRAFT-0292,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计95704人，未达10万一般门槛但敏感信息超1万人，应走安全评估或GBA标准合同路径；同时须履行PIPL第39条单独同意及GBA备案。主要冲突为GBA禁转条款与全球药物警戒报告义务。,,,,,
GBAMC-DRAFT-0281,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息。内地出境路径、GBA标准合同、人类遗传资源备案并行适用；GBA禁转条款与全球药物警戒报告义务可能真冲突，需消解。,,,,,
GBAMC-DRAFT-0302,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息。累计敏感个人信息超1万人，触发安全评估；同时须履行PIPL第39条单独同意、人类遗传资源备案备份。GBA标准合同与出境评估路径存在数量豁免争议，暂按并存处理。,,,,,
GBAMC-DRAFT-0272,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计32599人，未达10万一般门槛但敏感信息超1万，触发安全评估路径；GBA标准合同数量豁免存在争议，暂按并存处理。同时须履行PIPL第39条告知单独同意、GBA备案及香港PDPO义务。,,,,,
GBAMC-DRAFT-0257,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港跨境提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息。内地出境路径须依PIPL第38/39条及《促进规定》判断：累计敏感个人信息24421人（超1万），应申报安全评估；GBA标准合同指引与《促进规定》数量豁免存在业内分歧，暂按并存处理。香港PDPO第33条未生效，跨境移转受保障资料原则规管。主要冲突为GBA禁转条款与全球药物警戒报告义务。,,,,,
GBAMC-DRAFT-0672,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息。累计55637人，未达1万人敏感信息门槛，应走标准合同或认证路径，GBA指引可适用但须备案并单独同意。澳门PDPA第19条要求适当性认定或个案许可，与内地便利化安排存在程序前置冲突。,,,,,
GBAMC-DRAFT-0697,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息。累计59357人，未达10万且非CIIO，但敏感信息超1万人，应走安全评估路径；GBA标准合同数量豁免存在争议，暂按并存处理。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0634,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒相关个人信息，含诊断、检验、用药及不良事件报告等敏感个人信息，累计79606人。因涉及敏感个人信息，第5条豁免不适用；不满1万人敏感个人信息，应走标准合同或认证路径，并履行PIPL第39条告知单独同意。GBA标准合同指引与出境门槛规则存在数量豁免口径分歧，暂按并存处理。澳门PDPA第19条适当性保护及第20条明确同意例外需并行满足。,,,,,
GBAMC-DRAFT-0696,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息。累计94796人，未达10万一般个人信息豁免门槛，且敏感信息超1万人，应走安全评估或GBA标准合同路径。澳门PDPA第19条要求适当性认定或个案许可，与内地便利化安排存在程序前置冲突。,,,,,
GBAMC-DRAFT-0664,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计61297人，未达10万一般个人信息门槛，但敏感个人信息超1万，应走安全评估路径；GBA标准合同数量豁免存在争议，暂按并存处理。澳门PDPA第19条要求适当保护水平或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0611,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含基因测序数据、用药记录等敏感个人信息及人类遗传资源信息。主体为CIIO，累计出境91976人，须走安全评估路径，GBA标准合同不豁免第40条义务。基因数据另须履行人类遗传资源备案与备份。澳门PDPA第19条适当性认定与内地便利化安排存在程序衔接问题。,,,,,
GBAMC-DRAFT-0655,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、孕产、检验、用药及不良事件报告，属敏感个人信息。累计51892人，未达10万一般门槛但敏感信息超1万，应走安全评估或GBA标准合同路径。澳门PDPA第19条要求适当性认定或个案许可，与内地便利化安排存在程序前置冲突。,,,,,
GBAMC-DRAFT-0648,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计28072人，未达1万人敏感信息门槛，应走标准合同或认证路径，GBA指引可适用但须完成告知单独同意与双备案。澳门PDPA第19条适当性认定与第20条明确同意为目的地前置程序，与内地路径并行不排斥。,,,,,
GBAMC-DRAFT-0615,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、孕产、检验、用药及不良事件报告，属敏感个人信息。累计98173人，未达100万，但敏感信息超1万，应走安全评估；GBA标准合同数量豁免存在争议，暂按并存处理。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0675,cn_to_mo_pharmacovigilance,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含用药记录等敏感个人信息，累计出境51249人。内地侧应走标准合同或认证路径并履行单独同意；澳门侧须满足PDPA第19/20条适当性要求。GBA指引与出境门槛存在数量豁免争议，暂按并存处理。,,,,,
GBAMC-DRAFT-0668,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息。累计71855人，未达10万一般门槛但敏感信息超1万，应走安全评估或GBA标准合同路径；澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0683,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计82090人，未达10万一般门槛但敏感信息超1万，应走安全评估路径；GBA标准合同数量豁免存在争议，暂按并存处理。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0702,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。主体为CIIO，累计99237人，须走安全评估，GBA标准合同不豁免第40条。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0662,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息。累计61648人，未达10万一般门槛但敏感信息超1万，应走安全评估路径；GBA标准合同数量豁免存在争议，暂按并存处理。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0687,cn_to_mo_pharmacovigilance,孕产记录；诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息，累计敏感个人信息超1万人。内地出境路径、GBA标准合同、人类遗传资源备案与澳门PDPA转移规则并行适用；GBA数量豁免与网信门槛存在待统一分歧，澳门适当性前置未明，需个案消解。,,,,,
GBAMC-DRAFT-0679,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒相关个人信息，含用药记录等敏感个人信息，累计58128人。内地出境路径应按PIPL第38/39条及《促进和规范数据跨境流动规定》第8条订立标准合同或认证，并取得单独同意；GBA标准合同指引可并行适用但须备案。澳门PDPA第19条要求适当保护水平或个案许可，构成目的地程序前置。未告知为重要数据，不按重要数据申报；不涉及人类遗传资源。,,,,,
GBAMC-DRAFT-0670,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->MO,pharmacovigilance,该操作系内地向澳门提供药物警戒相关个人信息，含诊断、检验、用药及不良事件报告，属敏感个人信息。累计出境46651人，未达1万人敏感信息门槛，应走标准合同或认证路径，GBA指引可适用但须备案并单独同意。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。,,,,,
GBAMC-DRAFT-0813,cn_to_mo_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,本操作系内地向澳门提供远程医疗个人信息，含诊断、检验、生命体征等敏感个人信息，累计29770人。内地出境路径应依PIPL第38/39条及《促进和规范数据跨境流动规定》判断：因涉敏感个人信息，第5条豁免不适用；不满1万人敏感个人信息，应订立标准合同或认证，并履行告知与单独同意。GBA标准合同指引可适用，但须备案且不得再转移至大湾区外。澳门PDPA第19条要求适当保护水平或个案许可，第20条明确同意为例外。团体标准仅供分级参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0812,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,该操作系内地向澳门提供含基因测序、诊断、检验、病历及生命体征的医疗数据，属出境方向。内地侧须履行PIPL第39条告知与单独同意，并因涉及敏感个人信息及人类遗传资源信息，分别触发第8条标准合同/认证、HGR备案备份义务；澳门侧须满足PDPA第19/20条适当性保护或明确同意例外。GBA标准合同指引与内地出境门槛存在数量豁免口径分歧，暂按并存处理。,,,,,
GBAMC-DRAFT-0797,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供远程医疗数据，含敏感个人信息，累计出境80796人，未达CIIO或第40条达量门槛，不涉重要数据与人类遗传资源。内地侧须走标准合同或认证路径并履行单独同意；澳门侧须确保适当保护程度或适用例外。GBA指引与出境门槛存在数量豁免争议，暂按并存处理。,,,,,
GBAMC-DRAFT-0760,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供远程医疗数据，含诊断、检验、病历、生命体征、影像等敏感个人信息，累计56055人。内地出境路径须依PIPL第38/39条及《促进和规范数据跨境流动规定》判断：因涉敏感个人信息，第5条豁免不适用，应按第8条订立标准合同或认证；同时须履行PIPL第39条告知与单独同意。澳门PDPA第19条要求适当保护程度，未认定时须依第20条明确同意等例外并通知当局。GBA标准合同指引可提供便利化路径，但数量豁免存在分歧，暂按并存处理。,,,,,
GBAMC-DRAFT-0778,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境方向。含基因测序数据，触发人类遗传资源备案与信息备份义务；含敏感个人信息，第5条豁免不适用，须按第7/8条判断。GBA标准合同指引与内地出境制度并行，澳门PDPA第19条适当性前置须个案确认。团体标准不创设法律义务。,,,,,
GBAMC-DRAFT-0727,cn_to_mo_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境场景。患者累计7257人，未达10万，但含敏感个人信息，故第5条豁免不适用；不满1万人敏感个人信息，应走标准合同或认证路径，GBA指引可适用。澳门PDPA第19条要求适当性认定或个案许可，构成程序前置冲突。团体标准仅作分级参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0773,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境方向。含敏感个人信息且累计69534人，不适用第5条豁免；未达第7条1万人敏感门槛，应走标准合同或认证路径，并履行PIPL第39条单独同意。GBA指引与出境制度在数量豁免上存在待统一分歧，暂按并存处理。,,,,,
GBAMC-DRAFT-0816,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供远程医疗数据，含诊断、检验、病历、生命体征、影像等敏感个人信息，累计出境19594人。内地出境路径须依PIPL第38、39条及《促进和规范数据跨境流动规定》判断：因涉敏感个人信息，第5条豁免不适用，应按第8条订立标准合同或认证；同时须履行PIPL第39条单独同意。澳门PDPA第19条要求适当保护水平，未认定时须逐案许可。GBA标准合同指引可适用但不得豁免第40条义务。团体标准仅供分级参考。,,,,,
GBAMC-DRAFT-0800,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供远程医疗数据，含敏感个人信息且累计出境88195人，已超1万人敏感个人信息门槛，应走安全评估或GBA标准合同路径；澳门侧须满足PDPA第19/20条适当保护或例外。主要冲突为GBA禁转条款与澳门PDPA跨境转移例外、以及GBA数量豁免与网信办门槛衔接争议。,,,,,
GBAMC-DRAFT-0822,cn_to_mo_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,该操作系内地向澳门提供门诊病历、诊断ICD-10、内分泌疾病记录、检验检查及生命体征监测数据，属医疗敏感个人信息出境。累计28024人未达10万一般门槛，但敏感个人信息已超1万人，应走安全评估路径；GBA标准合同指引与《促进和规范数据跨境流动规定》在敏感信息数量豁免上存在待统一分歧，暂按并存处理。澳门PDPA第19条适当性认定与第20条明确同意为目的地前置程序，不能由内地便利化安排替代。团体标准仅作分级参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0817,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境方向。含基因测序数据，触发人类遗传资源备案与信息备份义务；含敏感个人信息，第5条豁免不适用。主体非CIIO但累计17728人，未达第7条安全评估门槛，应按第8条走标准合同或认证，并可并行适用GBA标准合同指引。澳门PDPA第19条要求适当保护程度或个案许可，与内地便利化安排可能形成程序前置冲突。,,,,,
GBAMC-DRAFT-0740,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境方向。含敏感个人信息且累计32471人，不适用第5条豁免；未达第7条1万人敏感门槛，应走第8条标准合同或认证，并履行PIPL第39条单独同意。GBA指引与出境制度在数量豁免上存在待统一分歧，暂按并存处理；澳门PDPA第19条适当性认定构成目的地程序前置，需个案确认。,,,,,
GBAMC-DRAFT-0838,cn_to_mo_telemedicine,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境方向。含基因测序数据，须依《人类遗传资源管理条例》第28条及实施细则第36条事先备案并提交信息备份，可能影响公共利益的还须安全审查；同时涉及敏感个人信息，须走PIPL第38/39条路径并取得单独同意。GBA标准合同指引与内地出境制度在敏感信息超1万人时存在数量豁免口径分歧，暂按并存处理。,,,,,
GBAMC-DRAFT-0737,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供含敏感个人信息的医疗数据，累计敏感个人信息超1万人，应走安全评估或GBA标准合同路径；澳门侧须满足PDPA第19/20条适当性/例外要求。GBA指引与出境门槛存在数量豁免争议，暂按并存处理；团体标准不创设法律义务。,,,,,
GBAMC-DRAFT-0829,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN->MO,telemedicine,该操作系内地向澳门提供诊疗数据，属出境方向。含基因测序数据，触发人类遗传资源备案与信息备份义务；含敏感个人信息，第5条豁免不适用，须按第7/8条判断。GBA标准合同指引与内地出境制度在数量门槛上存在待统一争议，暂按并存处理。澳门PDPA第19条适当性认定与第20条明确同意为目的地前置程序，不能由内地便利化安排替代。,,,,,
GBAMC-DRAFT-0794,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供含敏感个人信息的医疗数据用于远程医疗，属出境方向。累计敏感个人信息超1万人，应走安全评估或GBA标准合同路径；GBA指引与出境门槛存在数量豁免争议，暂按并存处理。澳门PDPA第19条适当性认定与内地便利化安排可能形成程序前置冲突。团体标准不创设法律义务。,,,,,
GBAMC-DRAFT-0768,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN->MO,telemedicine,该操作系内地向澳门提供远程医疗个人信息，含诊断、检验、病历、生命体征、影像等敏感个人信息，累计出境56384人。内地侧须走PIPL第38/39条及出境门槛规则；澳门侧须满足PDPA第19/20条适当性及例外。GBA标准合同指引与出境门槛规则存在数量豁免口径分歧，暂按并存处理；澳门适当性前置未明，构成场景依赖。,,,,,
GBAMC-DRAFT-0483,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不得据此要求安全评估或境内存储。香港PDPO各保障资料原则对资料使用者课以并行义务，与内地入境侧规则不相互排斥，不构成冲突。,,,,,
GBAMC-DRAFT-0515,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度不适用；应依香港PDPO保障资料原则处理，并关注内地接收端敏感个人信息保护要求。候选规则中多数为推荐性技术文件，不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0565,gba_storage_backup,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估或境内存储。香港PDPO各项保障资料原则与内地敏感个人信息识别指南并行适用，义务不相互排斥，不构成冲突。,,,,,
GBAMC-DRAFT-0596,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不得据此要求安全评估或备案。香港PDPO各项保障资料原则与内地敏感个人信息保护规则各自适用、义务不相互排斥，属并行义务，不构成真冲突。,,,,,
GBAMC-DRAFT-0593,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系由香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不得据此要求安全评估或境内存储。香港PDPO各项保障资料原则与内地敏感个人信息保护规则各自适用、义务并行，不构成相互排斥的真冲突；推荐性技术文件不创设法律义务。,,,,,
GBAMC-DRAFT-0562,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）均不适用，不得据此要求安全评估或境内存储。涉及诊断、检验、可穿戴、生命体征、住院病历等敏感医疗数据，香港PDPO的同意、使用限制、保安及跨境指引义务适用。候选内地规则多为推荐性技术文件，不创设法律义务，与香港法定义务不构成真冲突。,,,,,
