pair_id,左规则ID,左规则文本,右规则ID,右规则文本,出现查询数,涉及方向,冲突判定(无冲突/场景依赖/稳定冲突),处置结论(并存/待定/左压制右/右压制左),法理依据(lex_specialis/lex_superior/lex_posterior/contextual/none),备注
G011,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,40,MO->CN:40,,,,
G012,CN_OUTBOUND_Art5_004,数据处理者向境外提供个人信息，属于关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供不满10万人个人信息（不含敏感个人信息）的，免予申报数据出境安全评估、订立个人信息出境标准合同、通过个人信息保护认证；向境外提供的个人信息不包括重要数据。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,39,CN->HK:39,,,,
G013,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,33,HK->CN:33,,,,
G014,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,32,MO->CN:32,,,,
G015,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,32,MO->CN:32,,,,
G016,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,30,MO->CN:30,,,,
G017,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,30,CN->HK:30,,,,
G018,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,27,HK->CN:27,,,,
G019,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,25,CN->HK:25,,,,
G020,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,25,HK->CN:21; CN->HK:4,,,,
G021,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,24,MO->CN:24,,,,
G022,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,24,HK->CN:24,,,,
G023,CN_GBA_HK_GUIDE_Art2,粤港澳大湾区（内地、香港）个人信息处理者及接收方可以按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》要求，通过订立标准合同的方式进行粤港澳大湾区内内地和香港之间的个人信息跨境流动；被相关部门、地区告知或者公开发布为重要数据的个人信息除外。处理者及接收方应注册于（适用于组织）或位于（适用于个人）大湾区内地九市（广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆）或香港特别行政区。,CN_HGR_Art28_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当向国务院科学技术行政部门备案并提交信息备份；可能影响我国公众健康、国家安全和社会公共利益的，应当通过国务院科学技术行政部门组织的安全审查。,22,CN->HK:22,,,,
G024,CN_GBA_HK_GUIDE_Art2,粤港澳大湾区（内地、香港）个人信息处理者及接收方可以按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》要求，通过订立标准合同的方式进行粤港澳大湾区内内地和香港之间的个人信息跨境流动；被相关部门、地区告知或者公开发布为重要数据的个人信息除外。处理者及接收方应注册于（适用于组织）或位于（适用于个人）大湾区内地九市（广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆）或香港特别行政区。,CN_PIPL_Art40_001,关键信息基础设施运营者和处理个人信息达到国家网信部门规定数量的个人信息处理者，应当将在中华人民共和国境内收集和产生的个人信息存储在境内。确需向境外提供的，应当通过国家网信部门组织的安全评估；法律、行政法规和国家网信部门规定禁止提供个人信息的，不得提供。,21,CN->HK:21,,,,
G025,CN_GBA_HK_GUIDE_Art2,粤港澳大湾区（内地、香港）个人信息处理者及接收方可以按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》要求，通过订立标准合同的方式进行粤港澳大湾区内内地和香港之间的个人信息跨境流动；被相关部门、地区告知或者公开发布为重要数据的个人信息除外。处理者及接收方应注册于（适用于组织）或位于（适用于个人）大湾区内地九市（广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆）或香港特别行政区。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,21,CN->HK:21,,,,
G026,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,21,CN->HK:21,,,,
G027,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,20,MO->CN:20,,,,
G028,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,20,HK->CN:20,,,,
G029,CN_SPI_008,用药记录作为医疗健康信息中的就诊记录，属于敏感个人信息，需遵循保护规则。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,20,CN->HK:20,,,,
G030,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,20,HK->CN:20,,,,
G031,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,19,HK->CN:19,,,,
G032,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,19,CN->HK:19,,,,
G033,CN_PIPL_Art39_001,个人信息处理者向境外提供个人信息的，应当向个人告知境外接收方的名称或者姓名、联系方式、处理目的、处理方式、个人信息的种类以及个人向境外接收方行使本法规定权利的方式和程序等事项，并取得个人的单独同意。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,19,CN->HK:19,,,,
G034,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,19,MO->CN:19,,,,
G035,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,18,HK->CN:18,,,,
G036,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,17,HK->CN:17,,,,
G037,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,16,CN->HK:16,,,,
G038,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,16,HK->CN:16,,,,
G039,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,16,HK->CN:16,,,,
G040,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,15,HK->CN:15,,,,
G041,CN_OUTBOUND_Art5_004,数据处理者向境外提供个人信息，属于关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供不满10万人个人信息（不含敏感个人信息）的，免予申报数据出境安全评估、订立个人信息出境标准合同、通过个人信息保护认证；向境外提供的个人信息不包括重要数据。,CN_SPI_008,用药记录作为医疗健康信息中的就诊记录，属于敏感个人信息，需遵循保护规则。,15,CN->HK:15,,,,
G042,CN_GBA_HK_GUIDE_Art4,按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息的，个人信息处理者跨境提供前应当按属地法律要求告知个人信息主体或者取得同意，且不得向粤港澳大湾区以外的组织、个人提供。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,14,CN->HK:14,,,,
G043,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,13,MO->CN:13,,,,
G044,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,13,HK->CN:13,,,,
G045,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,12,MO->CN:11; HK->CN:1,,,,
G046,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,12,HK->CN:12,,,,
G047,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,12,CN->HK:12,,,,
G048,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,11,HK->CN:11,,,,
G049,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,11,HK->CN:11,,,,
G050,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,11,MO->CN:11,,,,
G051,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,11,HK->CN:11,,,,
G052,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,CN_PIPL_Art40_001,关键信息基础设施运营者和处理个人信息达到国家网信部门规定数量的个人信息处理者，应当将在中华人民共和国境内收集和产生的个人信息存储在境内。确需向境外提供的，应当通过国家网信部门组织的安全评估；法律、行政法规和国家网信部门规定禁止提供个人信息的，不得提供。,11,CN->HK:11,,,,
G053,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,10,HK->CN:10,,,,
G054,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,10,MO->CN:10,,,,
G055,CN_PIPL_Art39_001,个人信息处理者向境外提供个人信息的，应当向个人告知境外接收方的名称或者姓名、联系方式、处理目的、处理方式、个人信息的种类以及个人向境外接收方行使本法规定权利的方式和程序等事项，并取得个人的单独同意。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,10,CN->HK:10,,,,
G056,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,9,HK->CN:9,,,,
G057,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,9,HK->CN:9,,,,
G058,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,9,HK->CN:7; MO->CN:2,,,,
G059,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,7,MO->CN:7,,,,
G060,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,7,MO->CN:7,,,,
G061,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,6,HK->CN:6,,,,
G062,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,6,HK->CN:6,,,,
