pair_id,left_rule_id,right_rule_id,left_law,right_law,机器标记,优先级,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P011,CN_GBA_HK_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关; AI裁决不一致; 高频,高,45,HK->CN:42; CN->HK:3,left_suppresses_right:30; exclude_left:8; right_suppresses_left:6; exclude_right:1,义务与许可:29; 并行义务:8; 一般与例外:5; 强制与可选:1; 义务与义务:1; 一般与特别（GBA指引为特别机制）:1,lex_specialis:23; contextual:12; lex_superior:10,GBAMC-DRAFT-0248,GBA指引第4条要求按属地法律告知同意，与PIPL第39条实质一致，非冲突，仅需同时满足。,,,,,
P012,CN_PIPL_Art39_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,跨法域; AI裁决不一致; 高频,高,44,HK->CN:44,left_suppresses_right:28; exclude_left:11; right_suppresses_left:5,义务与许可:36; 义务与义务:4; 义务与义务（同意标准不一致）:2; 义务与义务（同意标准差异）:1; 义务与义务（并行但要求不同）:1,contextual:44,GBAMC-DRAFT-0004,香港PDPO要求订明同意（具体明确），内地PIPL要求单独同意（可概括）。两法域均需遵守，但香港同意标准更严格，在港收集时须满足，内地接收方仍须按内地法取得单独同意，二者不互斥但需并行满足。,,,,,
P013,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关; AI裁决不一致; 高频,高,41,CN->MO:29; MO->CN:12,left_suppresses_right:23; right_suppresses_left:18,一般与例外:18; 义务与许可:12; 强制与可选:8; 许可与禁止:2; 一般与特别:1,lex_specialis:28; lex_superior:11; contextual:2,GBAMC-DRAFT-0122-FLIP-CN-MO,PIPL第40条为法律层级，要求处理者达到规定数量时须通过安全评估；GBA指引为部门规范性文件，属可选机制。本案涉及32418人且含敏感信息，超过1万人敏感信息门槛，必须适用PIPL第40条安全评估，不能仅依赖GBA标准合同。,,,,,
P014,CN_PIPL_Art38_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,跨法域; AI裁决不一致; 高频,高,41,MO->CN:40; CN->MO:1,left_suppresses_right:38; exclude_left:2; right_suppresses_left:1,义务与许可:27; 一般与例外:9; 义务与义务:2; 义务与义务（许可条件不同）:2; 义务与义务（一般与例外）:1,contextual:41,GBAMC-DRAFT-0158-FLIP-CN-MO,澳门PDPA第19条要求接收地法律体系确保适当保护，内地PIPL第38条提供安全评估/认证/标准合同等具体路径。两者非直接排斥，澳门法未禁止转移，内地法提供合规机制，故澳门法不构成额外禁止，应适用内地出境程序。,,,,,
P015,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关; AI裁决不一致,高,39,HK->CN:29; CN->HK:10,left_suppresses_right:26; right_suppresses_left:13,一般与例外:21; 强制与可选:8; 义务与许可:6; 许可与禁止:4,lex_superior:22; lex_specialis:17,GBAMC-DRAFT-0245,若处理者属CIIO或达到网信部门规定数量，则必须通过安全评估，PIPL作为法律效力高于部门指引，GBA标准合同不能替代安全评估义务。,,,,,
P016,CN_PIPL_Art38_001,HK_PDPO_S33_NOTE,个人信息保护法,香港《个人资料（私隐）条例》,跨法域; AI裁决不一致,高,37,HK->CN:37,exclude_left:31; left_suppresses_right:4; right_suppresses_left:2,义务与许可:20; 一般与例外:15; 制度衔接:1; 许可与禁止:1,contextual:37,GBAMC-DRAFT-0000,香港第33条尚未生效，不构成实际义务；内地PIPL第38条为现行有效出境条件，二者不存在真实冲突，排除未生效规则。,,,,,
P017,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关; AI裁决不一致,高,29,CN->MO:22; MO->CN:7,right_suppresses_left:17; left_suppresses_right:12,一般与例外:20; 强制与可选:4; 义务与许可:3; 一般与特别:1; 许可与禁止:1,lex_specialis:29,GBAMC-DRAFT-0121-FLIP-CN-MO,GBA标准合同指引为内地与澳门间数据流动提供了专门通道，其适用条件（注册于大湾区）已满足，应取代一般出境标准合同或认证要求。数据量虽超1万人敏感信息，但GBA指引未设此门槛，故不构成冲突。,,,,,
P018,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关; AI裁决不一致,高,26,MO->CN:21; CN->MO:5,right_suppresses_left:16; left_suppresses_right:10,义务与许可:13; 一般与例外:13,lex_specialis:20; contextual:6,GBAMC-DRAFT-0151-FLIP-CN-MO,澳门法在接收地保护不足时需个案审批，但GBA标准合同机制已获两地监管认可，视为对内地保护水平的肯定，无需再个案审批，故指引优先。,,,,,
P019,CN_OUTBOUND_Art5_004,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,AI裁决不一致,高,22,MO->CN:10; CN->HK:8; HK->CN:4,right_suppresses_left:14; left_suppresses_right:8,一般与例外:13; 义务与许可:6; 许可与禁止:2; 强制与可选:1,lex_specialis:21; lex_superior:1,GBAMC-DRAFT-0247,Art5_004为出境规则中针对低量（<10万人非敏感）的豁免，属Art38一般条件的例外，本案含敏感信息不适用豁免，但规则间存在一般与例外关系，需优先适用特别规定判断。,,,,,
P020,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关; AI裁决不一致,高,22,HK->CN:12; CN->HK:10,left_suppresses_right:12; right_suppresses_left:10,一般与例外:15; 强制与可选:6; 一般与特别:1,lex_specialis:21; lex_superior:1,GBAMC-DRAFT-0252,GBA指引提供替代性合规路径，当适用该指引时，可免于按出境规定第8条订立标准合同或认证，但需满足指引全部条件。,,,,,
P021,CN_OUTBOUND_Art7_002,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,同法内关系; AI裁决不一致,高,21,HK->CN:11; CN->HK:5; MO->CN:5,left_suppresses_right:13; right_suppresses_left:7; exclude_left:1,义务与许可:8; 一般与例外:7; 强制与可选:6,lex_specialis:19; contextual:2,GBAMC-DRAFT-0253,本案含敏感个人信息且超1万人，触发Art7_002安全评估要求，Art8_001标准合同路径不适用，因敏感信息超1万人门槛。,,,,,
P022,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,同法内关系; AI裁决不一致,高,14,HK->CN:8; CN->HK:3; MO->CN:3,right_suppresses_left:9; left_suppresses_right:3; exclude_left:2,一般与例外:11; 义务与许可:2; 许可与禁止:1,lex_specialis:13; contextual:1,GBAMC-DRAFT-0284,Art5_004豁免不适用于敏感个人信息，本操作涉及敏感个人信息，故应适用Art8_001关于敏感个人信息出境的标准合同或认证要求。,,,,,
P023,CN_OUTBOUND_Art7_002,MO_PDPA_Art19_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,14,MO->CN:14,left_suppresses_right:12; exclude_left:2,义务与许可:11; 义务与义务:2; 义务与义务（许可条件不同）:1,contextual:14,GBAMC-DRAFT-0146,澳门法要求接收地有适当保护或当局个案批准，而内地法要求安全评估。两者均为强制前置程序，但澳门法未认可内地安全评估为充分保护，需个案判断，故澳门义务优先适用。,,,,,
P024,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP3_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,跨法域; GBA指引相关; AI裁决不一致,高,13,HK->CN:11; CN->HK:2,left_suppresses_right:8; exclude_right:4; exclude_left:1,义务与许可:12; 并行义务:1,contextual:13,GBAMC-DRAFT-0243,GBA指引要求跨境提供前取得个人同意，而香港DPP3允许在收集目的范围内使用资料。但操作中数据用于药物警戒，属于新目的，需取得同意，GBA指引的同意要求更严格，应优先适用。,,,,,
P025,CN_GDHMD_001,MO_PDPA_Art20_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,跨法域,中,13,MO->CN:13,right_suppresses_left:13,许可与禁止:13,lex_specialis:11; contextual:2,GBAMC-DRAFT-0122,澳门法允许经同意转移，但内地基因数据属4级，跨境需国家审批和匿名化，澳门同意例外不能豁免内地审批义务。,,,,,
P026,CN_GBA_MO_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关; AI裁决不一致,高,11,CN->MO:9; MO->CN:2,left_suppresses_right:8; exclude_left:3,义务与许可:8; 并行义务:3,lex_specialis:6; contextual:3; lex_superior:2,GBAMC-DRAFT-0134-FLIP-CN-MO,GBA指引第4条要求按属地法律告知或取得同意，与PIPL第39条单独同意要求并行不悖，但GBA作为特别规定，其属地法律要求优先于PIPL一般规定。,,,,,
P027,CN_PIPL_Art39_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,10,MO->CN:7; CN->MO:3,left_suppresses_right:9; exclude_left:1,义务与许可:5; 一般与例外:2; 许可与禁止:1; 例外与一般义务:1; 许可与义务:1,contextual:10,GBAMC-DRAFT-0161-FLIP-CN-MO,澳门PDPA第20条允许在资料当事人明确同意等例外下向无‘适当保护’地区转移，但内地PIPL第39条要求单独同意且需告知境外接收方信息。两者虽都涉及同意，但澳门例外条款可能允许在未满足内地全部告知义务时转移，而内地规则强制要求告知，构成义务冲突。,,,,,
P028,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关; AI裁决不一致,高,9,MO->CN:7; CN->MO:2,left_suppresses_right:4; right_suppresses_left:4; exclude_right:1,一般与例外:6; 许可与禁止:2; 义务与许可:1,lex_specialis:8; contextual:1,GBAMC-DRAFT-0135-FLIP-CN-MO,GBA指引作为专门便利机制，明确排除重要数据（含基因数据）跨境，而澳门法第20条允许经同意转移至无足够保护地。因基因数据属重要数据，GBA指引的禁止性规定优先，澳门法例外不适用。,,,,,
P029,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关; AI裁决不一致,高,9,CN->MO:6; MO->CN:3,left_suppresses_right:8; right_suppresses_left:1,义务与许可:7; 禁止与许可:1; 一般与例外:1,contextual:5; lex_specialis:4,GBAMC-DRAFT-0136-FLIP-CN-MO,GBA指引第4条要求按属地法律告知并取得同意，澳门PDPA第20条亦以明确同意为转移前提。两者义务一致，不构成实质冲突，但指引作为专门机制，其程序要求（如备案）需同时满足。,,,,,
P030,CN_GDHMD_001,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,7,CN->MO:4; MO->CN:3,left_suppresses_right:5; right_suppresses_left:2,义务与许可:6; 许可与禁止:1,contextual:6; lex_specialis:1,GBAMC-DRAFT-0135-FLIP-CN-MO,内地规范要求基因数据跨境需国家审批和匿名化，澳门法仅要求接收地足够保护。因数据源自内地（虽从澳门转出），内地对基因数据的特殊管控义务优先，澳门一般原则不构成许可。,,,,,
P031,CN_GDHMD_001,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,,中,7,HK->CN:4; MO->CN:3,left_suppresses_right:7,义务与许可:6; 一般与例外:1,lex_specialis:7,GBAMC-DRAFT-0126,GDHMD要求基因测序数据跨境需国家审批和匿名化，而数据出境规定要求安全评估，两者均为强制义务，但GDHMD更具体，需先满足其审批要求。,,,,,
P032,CN_PIPL_Art38_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,7,MO->CN:7,right_suppresses_left:6; exclude_left:1,许可与禁止:6; 一般与例外:1,contextual:7,GBAMC-DRAFT-0127,澳门法允许经同意向无充分保护地区转移，但内地法要求出境须具备安全评估、认证或标准合同等条件，且基因数据属重要数据，不得仅凭同意出境，内地法作为接收地法优先适用。,,,,,
P033,CN_PIPL_Art40_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,6,MO->CN:4; CN->MO:2,left_suppresses_right:3; right_suppresses_left:3,许可与禁止:4; 义务与许可:2,contextual:6,GBAMC-DRAFT-0234-FLIP-CN-MO,内地法对敏感个人信息出境强制要求安全评估，而澳门法允许基于明确同意的例外转移。因数据含基因测序（重要数据），GBA标准合同不适用，内地安全评估为强制性前置条件，澳门同意例外不能免除该义务。,,,,,
P034,CN_OUTBOUND_Art7_002,MO_PDPA_Art19_002,促进和规范数据跨境流动规定,澳门《个人资料保护法》,跨法域,中,6,MO->CN:5; CN->MO:1,left_suppresses_right:6,一般与例外:3; 义务与许可:2; 强制评估与个案决定:1,contextual:6,GBAMC-DRAFT-0401-FLIP-CN-MO,内地安全评估是出境前置条件，澳门当局在评估后仍可依个案审查，但内地评估通过不排除澳门审查，两者非直接冲突，内地规则在出境环节优先适用。,,,,,
P035,CN_PIPL_Art40_001,HK_PDPO_S33_NOTE,个人信息保护法,香港《个人资料（私隐）条例》,跨法域; AI裁决不一致,高,6,HK->CN:6,exclude_left:3; right_suppresses_left:2; left_suppresses_right:1,义务与许可:4; 一般与例外:2,contextual:6,GBAMC-DRAFT-0020,香港第33条未生效，不构成跨境禁止义务；内地PIPL第40条要求安全评估，但该操作非CIIO且数量未达门槛，故不冲突，仅需按PIPL第38条选择合法路径。,,,,,
P036,CN_GBA_HK_GUIDE_Art5,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关,中,6,HK->CN:6,right_suppresses_left:6,一般与例外:4; 许可与禁止:1; 许可与禁止（合规路径冲突）:1,lex_specialis:6,GBAMC-DRAFT-0055,GBA指引要求PIA，但数据量超1万人敏感信息，依出境规定需安全评估，此为特别程序，故出境规定优先。,,,,,
P037,CN_OUTBOUND_Art7_002,CN_PIPL_Art40_001,促进和规范数据跨境流动规定,个人信息保护法,AI裁决不一致,高,5,CN->HK:3; MO->CN:2,left_suppresses_right:3; right_suppresses_left:2,一般与例外:3; 义务与许可:1; 强制与可选:1,lex_superior:3; lex_specialis:2,GBAMC-DRAFT-0247,Art40针对CIIO或达量处理者，Art7_002为具体数量门槛（1万敏感）触发安全评估，属细化执行，本案13830条敏感数据可能触发Art7_002，故以特别规定为准。,,,,,
P038,CN_GDHMD_001,CN_OUTBOUND_Art5_004,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,AI裁决不一致,高,4,HK->CN:2; CN->MO:1; MO->CN:1,left_suppresses_right:3; right_suppresses_left:1,禁止与豁免:2; 一般与例外:1; 许可与禁止:1,lex_specialis:4,GBAMC-DRAFT-0392-FLIP-CN-MO,基因测序数据属4级敏感数据，行业规范明确要求国家审批，排除出境豁免适用。,,,,,
P039,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关; AI裁决不一致,高,4,CN->MO:3; MO->CN:1,left_suppresses_right:3; right_suppresses_left:1,义务与许可:4,lex_specialis:4,GBAMC-DRAFT-0408-FLIP-CN-MO,GBA标准合同实施指引作为粤港澳大湾区跨境数据流动的特别机制，已通过备案程序替代澳门PDPA第19条的一般性适当保护评估要求，属于特别法优于一般法。,,,,,
P040,CN_PIPL_Art40_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,4,MO->CN:4,left_suppresses_right:3; right_suppresses_left:1,义务与许可:3; 义务与义务:1,contextual:3; lex_specialis:1,GBAMC-DRAFT-0132,澳门法要求确保接收地适当保护，内地法对达到数量阈值的数据处理者强制安全评估，但澳门法未禁止转移，仅要求个案审查，两者不构成直接排斥，澳门法作为来源地法优先适用。,,,,,
P041,CN_OUTBOUND_Art7_002,MO_PDPA_Art20_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,4,MO->CN:4,right_suppresses_left:2; left_suppresses_right:1; exclude_left:1,许可与强制:2; 许可与义务:1; 例外与强制:1,contextual:3; lex_specialis:1,GBAMC-DRAFT-0146,若取得当事人明确同意，澳门法允许向无充分保护地区转移，但内地法仍要求安全评估（因敏感数据超1万人），两者冲突。澳门例外不能免除内地法义务，但澳门法作为来源地法律，其同意例外可满足澳门要求，内地法仍须遵守，故澳门法不压制内地法，实际需同时满足。,,,,,
P042,CN_OUTBOUND_Art7_002,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,,低,4,HK->CN:3; MO->CN:1,right_suppresses_left:4,一般与例外:4,lex_specialis:4,GBAMC-DRAFT-0233,涉及1万人以上敏感个人信息（基因数据属敏感），触发强制安全评估，作为PIPL第38条的特别情形优先适用。,,,,,
P043,CN_GBA_HK_GUIDE_Art2,HK_PDPO_S33_NOTE,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,跨法域; GBA指引相关; AI裁决不一致,高,4,HK->CN:4,exclude_left:2; left_suppresses_right:1; right_suppresses_left:1,一般与例外:3; 义务与许可:1,contextual:4,GBAMC-DRAFT-0015,香港第33条未生效，不构成实际义务；GBA指引为有效便利机制，二者无实质冲突，排除未生效规则。,,,,,
P044,CN_OUTBOUND_Art7_002,HK_PDPO_DPP3_001,促进和规范数据跨境流动规定,香港《个人资料（私隐）条例》,跨法域; AI裁决不一致,高,4,HK->CN:4,left_suppresses_right:2; exclude_left:1; right_suppresses_left:1,义务与许可:3; 义务与义务:1,contextual:4,GBAMC-DRAFT-0031,香港PDPO第3原则要求资料用于原收集目的或直接相关用途，而内地出境安全评估要求可能改变处理目的（如AI训练），两者在目的限制上存在实质冲突，需优先满足香港原意同意要求。,,,,,
P045,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关,低,4,HK->CN:4,right_suppresses_left:4,强制与可选:2; 许可与禁止:1; 一般与例外:1,lex_specialis:4,GBAMC-DRAFT-0100,GBA指引Art8仅要求备案，但Art7_002要求安全评估，两者程序义务冲突，因基因数据属重要数据，安全评估优先。,,,,,
P046,CN_PIPL_Art39_001,HK_PDPO_DPP1_003,个人信息保护法,香港《个人资料（私隐）条例》,跨法域; AI裁决不一致,高,3,CN->HK:2; HK->CN:1,left_suppresses_right:2; exclude_left:1,义务与许可:2; 并行义务:1,contextual:2; lex_specialis:1,GBAMC-DRAFT-0246,两规则均要求告知和同意，但分属不同法域，内地法要求单独同意，香港法要求告知，二者不矛盾，可同时履行，无需排除。,,,,,
P047,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关,低,3,CN->MO:3,left_suppresses_right:3,义务与许可:3,contextual:3,GBAMC-DRAFT-0133-FLIP-CN-MO,GBA指引要求按属地法律取得同意，澳门个保法第19条要求接收地有适当保护，内地法律体系已提供保护，且指引的同意要求与澳门第20条例外（明确同意）兼容，不构成实质冲突。,,,,,
P048,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art5_004,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关; AI裁决不一致,高,3,CN->MO:3,left_suppresses_right:1; exclude_left:1; right_suppresses_left:1,许可与禁止:2; 许可与义务:1,lex_specialis:2; contextual:1,GBAMC-DRAFT-0155-FLIP-CN-MO,Art5_004规定累计向境外提供不满10万人个人信息（不含敏感）可免于申报、标准合同和认证。但本案含基因测序等敏感个人信息，不适用该豁免，故GBA指引的标准合同义务仍适用，二者不构成实质冲突。,,,,,
