pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P011,CN_OUTBOUND_Art5_004,CN_SPI_008,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,,normalized_weak_norm_to_not_conflict:58; normalized_element_relationship:58; normalized_basis_to_none:58,58,CN->HK:40; CN->MO:18,不竞合（要件互斥）:58,构成要件关系:58,none:58,GBAMC-DRAFT-0241,用药记录属敏感个人信息，第5条豁免仅适用于不含敏感个人信息且不满10万人的情形。本操作含敏感信息，第5条豁免不适用，应排除。,,,,,
P012,CN_GBA_HK_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,55,CN->HK:55,并存（按孰严执行）:55,并行义务:55,lex_specialis:54; none:1,GBAMC-DRAFT-0240,GBA告知同意不得低于PIPL单独同意标准，两者并行，须同时满足告知与单独同意要求。,,,,,
P013,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:53,53,CN->HK:53,待定（口径未明）:53,一般与例外:53,lex_specialis:49; contextual:4,GBAMC-DRAFT-0240,敏感个人信息超1万人，按第8条应标准合同或认证；GBA指引对数量限制有豁免争议。两种口径并存，暂按cumulative处理，需团队统一立场。,,,,,
P014,CN_PIPL_Art39_001,HK_PDPO_CONSENT_DEF_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,52,CN->HK:52,并存（按孰严执行）:52,并行义务:49; 一般与例外:3,contextual:41; none:11,GBAMC-DRAFT-0241,内地要求单独同意，香港要求订明同意，构成要件不同但可并行满足。取两地较严标准：书面明确同意并告知境外接收方事项。,,,,,
P015,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关; AI裁决不一致,gba_quantitative_exemption_disputed:49; cross_jurisdiction_exclusion_relation:29,49,CN->MO:49,右压制左:29; 待定（口径未明）:18; 无冲突:2,一般与例外:36; 义务与许可:9; 强制与可选:4,lex_superior:30; lex_specialis:17; contextual:2,GBAMC-DRAFT-0604,主体为CIIO，PIPL第40条要求境内存储并经安全评估，GBA标准合同指引不豁免该义务，安全评估优先。,,,,,
P016,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:1,49,CN->MO:49,并存（按孰严执行）:48; 右压制左:1,并行义务:42; 强制与可选:5; 义务与许可:2,contextual:47; none:1; lex_specialis:1,GBAMC-DRAFT-0600,GBA标准合同备案与澳门个案许可程序并行，互不替代，需分别完成。,,,,,
P017,CN_GDHMD_002,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,46,HK->CN:46,并存（按孰严执行）:46,并行义务:46,contextual:44; none:2,GBAMC-DRAFT-0482,香港保安原则与广东团体标准的分级加密建议并行；团体标准非法规，不创设压制性义务，仅作参考，可同时满足。,,,,,
P018,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,41,CN->MO:41,并存（按孰严执行）:41,并行义务:39; 许可与禁止:1; 一般与例外:1,contextual:40; none:1,GBAMC-DRAFT-0601,澳门PDPA第20条明确同意是澳门法下转移例外，不能替代内地出境路径下的单独同意义务，两者并行。,,,,,
P019,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关; AI裁决不一致,gba_quantitative_exemption_disputed:38; cross_jurisdiction_exclusion_relation:16,38,CN->HK:38,待定（口径未明）:17; 右压制左:15; 无冲突:5; 排除左:1,一般与例外:27; 义务与许可:8; 强制与可选:3,lex_superior:19; lex_specialis:17; contextual:2,GBAMC-DRAFT-0240,主体非CIIO且累计94381人未达第40条达量标准，第40条境内存储与安全评估义务不触发；GBA标准合同路径可并行适用，但须以主体身份审核确认为前提。,,,,,
P020,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP3_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,38,CN->HK:38,并存（按孰严执行）:38,并行义务:38,contextual:34; none:4,GBAMC-DRAFT-0240,GBA指引要求告知同意且不得向大湾区外提供，香港DPP3要求使用限制及订明同意。两者均为使用限制与同意要求，可并行履行。,,,,,
P021,CN_GBA_MO_GUIDE_Art2,CN_HGR_Art28_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,35,CN->MO:35,并存（按孰严执行）:35,并行义务:35,lex_specialis:27; contextual:7; none:1,GBAMC-DRAFT-0605,人类遗传资源信息对外提供须向科技行政部门备案并备份，与GBA标准合同备案是并行程序，互不替代，须双轨履行。,,,,,
P022,CN_SPI_001,HK_PDPO_DPP3_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,35,HK->CN:35,并存（按孰严执行）:35,并行义务:34; 一般与例外:1,contextual:35,GBAMC-DRAFT-0480,香港PDPO第3原则要求使用限于原收集目的或直接相关目的并取得订明同意；内地PIPL将住院病历列为敏感个人信息，要求单独同意及更严保护。两地各自在所属法域内施加义务，互不排斥，可同时履行，取较严标准即可。,,,,,
P023,CN_GDHMD_001,CN_HGR_Art28_001,广东省健康医疗数据安全分类分级管理技术规范,人类遗传资源管理条例,团体标准（推荐性技术文件）,行政法规,,normalized_weak_norm_to_not_conflict:28; normalized_basis_to_none:28,31,CN->MO:31,无冲突:31,强制与可选:27; 并行义务:3; 一般与例外:1,none:31,GBAMC-DRAFT-0611,团体标准非法规，不得以4级数据需国家审批压制行政法规；基因数据出境应依人类遗传资源条例备案审查。,,,,,
P024,CN_GDHMD_008,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_weak_norm_to_not_conflict:15; normalized_basis_to_none:15,31,CN->HK:20; CN->MO:11,无冲突:28; 并存（按孰严执行）:3,强制与可选:16; 并行义务:15,none:31,GBAMC-DRAFT-0241,团体标准为推荐性技术文件，不创设法律义务，不得作为审批或压制依据。数据分级不触发国家审批，应以部门规章第7条安全评估为准。,,,,,
P025,MO_PDPA_Art19_001,MO_PDPA_Art19_002,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系,,25,MO->CN:25,并存（按孰严执行）:25,一般与例外:25,lex_specialis:25,GBAMC-DRAFT-0127,第19条第1款为原则，第2款为无适当保护水平时的个案许可例外，二者为同一转移制度的一般与例外关系，须并行适用：先判断适当性，不足则申请个案许可。,,,,,
P026,CN_GDHMD_008,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_weak_norm_to_not_conflict:13; normalized_basis_to_none:13,24,CN->MO:17; CN->HK:7,无冲突:21; 并存（按孰严执行）:3,强制与可选:14; 并行义务:10,none:24,GBAMC-DRAFT-0240,团体标准仅提供数据分级参考，不创设法律义务，不得据以压制或替代部门规章的出境门槛判断，二者不构成规范冲突。,,,,,
P027,MO_PDPA_Art19_002,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系,,24,MO->CN:24,并存（按孰严执行）:24,一般与例外:12; 强制与可选:9; 并行义务:3,lex_specialis:14; contextual:10,GBAMC-DRAFT-0130,第19条第2款个案决定与第20条例外可同时满足；澳门当局个案许可与当事人明确同意并行，不相互排斥。,,,,,
P028,CN_GDHMD_001,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域; AI裁决不一致,normalized_weak_norm_to_not_conflict:5; normalized_basis_to_none:3,22,MO->CN:22,无冲突:12; 并存（按孰严执行）:10,并行义务:17; 强制与可选:3; 一般与例外:2,contextual:15; none:7,GBAMC-DRAFT-0124,广东团体标准系推荐性技术文件，不创设法律义务，不得作为审批或压制依据；澳门PDPA第19条为澳门法域内义务，二者不构成同一操作下的规范冲突。,,,,,
P029,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:5,20,CN->MO:20,并存（按孰严执行）:15; 右压制左:5,义务与许可:11; 并行义务:5; 一般与例外:2; 强制与可选:2,contextual:20,GBAMC-DRAFT-0603,GBA指引允许订立标准合同后跨境，但澳门PDPA第19条要求目的地适当性认定或个案许可。澳门程序前置未完成时，内地便利化安排不能替代。,,,,,
P030,CN_GDHMD_001,HK_PDPO_DPP3_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域; AI裁决不一致,normalized_weak_norm_to_not_conflict:5; normalized_basis_to_none:5,20,HK->CN:20,并存（按孰严执行）:15; 无冲突:5,并行义务:15; 强制与可选:5,contextual:15; none:5,GBAMC-DRAFT-0006,香港要求目的限制与同意，广东团标建议基因数据匿名化；两者可并行履行，团标非法律义务，不构成排斥性冲突。,,,,,
P031,CN_GDHMD_008,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,AI裁决不一致,normalized_weak_norm_to_not_conflict:12; normalized_basis_to_none:12,20,CN->MO:17; CN->HK:3,无冲突:19; 并存（按孰严执行）:1,强制与可选:12; 并行义务:8,none:20,GBAMC-DRAFT-0299,团体标准仅推荐性技术参考，不创设法律义务，不得压制或替代PIPL出境路径；两者不构成规范冲突。,,,,,
P032,CN_GBA_MO_GUIDE_Art7,CN_HGR_Art28_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,19,CN->MO:19,并存（按孰严执行）:19,并行义务:19,contextual:12; lex_specialis:6; none:1,GBAMC-DRAFT-0614,人类遗传资源信息对外提供须向科技行政部门备案并提交信息备份，与GBA标准合同向网信部门备案是并行程序，互不替代，须同时履行。,,,,,
P033,CN_GBA_MO_GUIDE_Art4,EU_GVP_MODULE_VI_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,EU GVP Module VI,规范性文件（实施指引）,欧盟法规（域外）,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:15,18,CN->MO:18,右压制左:15; 并存（按孰严执行）:3,许可与禁止:18,contextual:18,GBAMC-DRAFT-0608,GBA禁向大湾区外再转移，与全球药物警戒15日报告义务冲突。消解路径：经主管机关批准、去标识化后提供或境内查阅不导出，确保不违反禁转条款。,,,,,
P034,CN_GDHMD_008,HK_PDPO_DPP1_002,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,17,HK->CN:17,并存（按孰严执行）:17,并行义务:17,contextual:17,GBAMC-DRAFT-0023,香港收集目的与适度原则，广东团标建议检验影像假名化水印；可同时满足，团标仅供参考，无压制关系。,,,,,
P035,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,部门规章,部门规章,同法内关系; AI裁决不一致,,17,CN->MO:11; CN->HK:6,排除左:16; 右压制左:1,一般与例外:17,lex_specialis:17,GBAMC-DRAFT-0269,操作含敏感个人信息，第5条豁免不适用；累计71498人、不满1万人敏感个人信息，应适用第8条标准合同或认证。,,,,,
P036,CN_PIPL_Art39_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,17,CN->HK:17,并存（按孰严执行）:17,并行义务:17,contextual:16; none:1,GBAMC-DRAFT-0242,香港使用限制原则要求订明同意，内地要求单独同意；两法域各自要求告知同意，义务不相互排斥，应并行满足，取较严同意标准。,,,,,
P037,CN_ADR_MEASURES_RETENTION_001,MO_PDPA_Art19_001,药物警戒记录保存规定,澳门《个人资料保护法》,部门规章/规范性文件,澳门法律,跨法域,,16,CN->MO:16,并存（按孰严执行）:16,并行义务:16,contextual:16,GBAMC-DRAFT-0608,内地要求保存药物警戒档案备查，澳门要求跨境转移须确保适当保护。两者并行不排斥，保存义务与转移条件可同时满足。,,,,,
P038,CN_GBA_HK_GUIDE_Art4,ICH_E2B_R3_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,ICH E2B(R3),规范性文件（实施指引）,国际技术标准（域外）,跨法域; GBA指引相关,cross_jurisdiction_exclusion_relation:16,16,CN->HK:16,右压制左:16,许可与禁止:16,contextual:16,GBAMC-DRAFT-0246,GBA禁转与ICH E2B(R3)电子传输ICSR要求排斥。消解：境内主体直接按E2B(R3)向监管机构传输，或经批准后去标识化提供，避免香港接收方再转移。,,,,,
P039,CN_GBA_HK_GUIDE_Art8,CN_HGR_Art28_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,16,CN->HK:16,并存（按孰严执行）:16,并行义务:16,none:7; contextual:5; lex_specialis:4,GBAMC-DRAFT-0245,人类遗传资源备案备份与GBA标准合同备案系并行程序，互不替代，须分别履行。,,,,,
P040,CN_PIPL_Art38_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,16,CN->MO:16,并存（按孰严执行）:16,并行义务:14; 义务与许可:2,contextual:16,GBAMC-DRAFT-0641,内地出境须满足PIPL第38条路径，澳门入境须确保适当保护水平或经个案许可，两地程序并行，须同时满足。,,,,,
P041,CN_GBA_HK_GUIDE_Art8,HK_PDPO_DPP4_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,15,CN->HK:15,并存（按孰严执行）:15,并行义务:15,contextual:15,GBAMC-DRAFT-0241,GBA要求标准合同备案，香港要求保安措施。两者义务不排斥，可同时履行：完成备案并采取加密、访问控制等保安措施。,,,,,
P042,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,14,CN->MO:14,并存（按孰严执行）:14,义务与许可:9; 强制与可选:3; 一般与例外:2,contextual:14,GBAMC-DRAFT-0645,GBA标准合同路径允许跨境；澳门PDPA第19条第2款要求个案决定。内地便利化安排不能替代澳门主管机关前置程序，须并行满足。,,,,,
P043,CN_GDHMD_018,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域; AI裁决不一致,normalized_weak_norm_to_not_conflict:1; normalized_basis_to_none:1,14,HK->CN:14,并存（按孰严执行）:13; 无冲突:1,并行义务:13; 强制与可选:1,contextual:13; none:1,GBAMC-DRAFT-0006,影像面部去标识化建议属推荐性技术文件，不创设法律义务；香港PDPO DPP4要求采取切实可行保安措施，二者可并行参考，但团体标准不得作为压制或审批依据。,,,,,
P044,CN_OUTBOUND_Art8_001,MO_PDPA_Art19_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,11,CN->MO:11,并存（按孰严执行）:11,义务与许可:8; 并行义务:3,contextual:11,GBAMC-DRAFT-0614,内地要求敏感个人信息不满1万人订立标准合同或认证，澳门要求接收地具适当保护程度。两地程序并行不排斥，须同时满足；澳门未认定适当性时须逐案许可。,,,,,
P045,CN_PIPL_Art39_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,11,CN->MO:11,并存（按孰严执行）:11,并行义务:11,contextual:11,GBAMC-DRAFT-0603,内地要求告知并单独同意，澳门要求适当性认定或个案许可，两者并行不排斥，需同时满足。,,,,,
P046,CN_SPI_001,MO_PDPA_Art20_001,网络安全标准实践指南 — 敏感个人信息识别指南,澳门《个人资料保护法》,技术指南（推荐性）,澳门法律,跨法域,,11,MO->CN:11,并存（按孰严执行）:11,并行义务:11,contextual:11,GBAMC-DRAFT-0125,澳门明确同意例外与内地敏感个人信息保护要求并行，可同时履行；澳门同意不能替代内地单独同意，但本操作系入境方向，内地出境同意规则不适用。,,,,,
P047,CN_GDHMD_001,MO_PDPA_Art19_002,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域; AI裁决不一致,normalized_weak_norm_to_not_conflict:5; normalized_basis_to_none:4,10,MO->CN:10,无冲突:5; 并存（按孰严执行）:5,并行义务:5; 强制与可选:4; 一般与例外:1,none:6; contextual:4,GBAMC-DRAFT-0125,广东团体标准不创设国家审批义务，不能替代澳门个人资料保护当局的个案决定程序；应依澳门PDPA第19条第2款逐案审查。,,,,,
P048,CN_SPI_001,MO_PDPA_Art19_001,网络安全标准实践指南 — 敏感个人信息识别指南,澳门《个人资料保护法》,技术指南（推荐性）,澳门法律,跨法域; AI裁决不一致,,10,MO->CN:10,并存（按孰严执行）:9; 无冲突:1,并行义务:10,contextual:10,GBAMC-DRAFT-0125,澳门PDPA第19条要求适当保护水平，内地敏感个人信息识别指南要求加强保护，二者并行不排斥，可同时满足。,,,,,
P049,CN_GBA_HK_GUIDE_Art2,CN_HGR_Art28_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,9,CN->HK:9,并存（按孰严执行）:9,并行义务:9,lex_specialis:6; none:2; contextual:1,GBAMC-DRAFT-0265,基因测序数据出境既触发人类遗传资源信息备案与备份，也需GBA标准合同路径；两程序并行，互不替代，应同时履行。,,,,,
P050,CN_SPI_003,HK_PDPO_DPP3_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,9,HK->CN:9,并存（按孰严执行）:9,并行义务:9,contextual:9,GBAMC-DRAFT-0489,香港使用限制原则与内地敏感个人信息保护规则各自适用于本域，均要求目的限定与告知同意，义务并行不排斥，可同时履行。,,,,,
P051,CN_GDHMD_008,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域; AI裁决不一致,normalized_weak_norm_to_not_conflict:5; normalized_basis_to_none:3,8,MO->CN:8,无冲突:5; 并存（按孰严执行）:3,强制与可选:3; 并行义务:3; 一般与例外:1; 义务与许可:1,none:4; contextual:4,GBAMC-DRAFT-0125,检验检查数据跨境假名化要求属推荐性技术文件，不构成法律义务，不能替代澳门PDPA第19条适当保护水平评估。,,,,,
P052,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,7,CN->MO:7,并存（按孰严执行）:7,并行义务:7,contextual:7,GBAMC-DRAFT-0648,内地标准合同备案与澳门明确同意例外系并行程序，互不替代，应同时履行。,,,,,
P053,CN_SPI_001,HK_PDPO_DPP1_002,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,7,HK->CN:7,并存（按孰严执行）:7,并行义务:7,contextual:7,GBAMC-DRAFT-0510,香港收集目的原则与内地敏感信息保护规则各自适用，均要求合法目的与保护措施，义务并行不排斥。,,,,,
P054,CN_SPI_008,HK_PDPO_DPP3_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,7,CN->HK:6; HK->CN:1,并存（按孰严执行）:7,并行义务:7,contextual:5; none:2,GBAMC-DRAFT-0243,内地将用药记录列为敏感个人信息，香港要求订明同意方可使用。两地均要求加强保护，可并行履行，取较严保护标准。,,,,,
P055,CN_ADR_MEASURES_RETENTION_001,CN_GBA_MO_GUIDE_Art4,药物警戒记录保存规定,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,部门规章/规范性文件,规范性文件（实施指引）,跨法域; GBA指引相关,,6,CN->MO:6,并存（按孰严执行）:6,并行义务:6,contextual:4; none:2,GBAMC-DRAFT-0601,药物警戒记录保存与个人信息跨境告知同意属不同义务，并行不悖，均需遵守。,,,,,
