pair_id,专家裁决,专家冲突类型,专家压制方向,专家法理依据,专家备注
P060,无冲突,跨法域义务累积,并存,none,N1；N7
P061,无冲突,效力位阶不对等,并存,none,N2；N1
P062,无冲突,跨法域义务累积,并存,none,N1
P063,无冲突,效力位阶不对等,并存,none,N2（推荐性技术指南）；N9
P064,无冲突,跨法域义务累积,并存,none,N1
P065,无冲突,程序并行,并存,none,N10；N6
P066,无冲突,跨法域义务累积,并存,none,N1
P067,无冲突,未生效条文,并存,none,N3
P068,无冲突,效力位阶不对等,并存,none,N2；N1
P069,无冲突,同法内技术要求并行,并存,none,N2；N4
P070,无冲突,效力位阶不对等,并存,none,N2；N1
P071,无冲突,效力位阶不对等,并存,none,N2；N1
P072,无冲突,跨法域义务累积,并存,none,N1
P073,无冲突,效力位阶不对等,并存,none,N2
P074,无冲突,未生效条文,并存,none,N3；N7
P075,无冲突,跨法域义务累积,并存,none,N1
P076,无冲突,未生效条文,并存,none,N3
P077,无冲突,未生效条文,并存,none,N3；N4
P078,无冲突,同法内程序并行,并存,none,N4；N6
P079,无冲突,程序并行,并存,none,N6
P080,无冲突,效力位阶不对等,并存,none,N2；N3
P081,无冲突,效力位阶不对等,并存,none,N2
P082,无冲突,效力位阶不对等,并存,none,N2；N3
P083,无冲突,程序并行,并存,none,N10；N6
P084,无冲突,未生效条文,并存,none,N3；N7
P085,无冲突,跨法域义务累积,并存,none,N1
P086,无冲突,同法内一般与例外,并存,lex_specialis,N4
P087,场景依赖,程序竞合,依事实定,contextual,N8；若终走安全评估路径则GBA备案义务不发生
P088,无冲突,跨法域义务累积,并存,none,N1
P089,无冲突,效力位阶不对等,并存,none,N2
P090,无冲突,效力位阶不对等,并存,none,N2；N1
P091,无冲突,效力位阶不对等,并存,none,N2；N7
P092,无冲突,程序并行,并存,none,N10
P093,无冲突,跨法域义务累积,并存,none,N1
P094,无冲突,跨法域义务累积,并存,none,N1
P095,无冲突,跨法域义务累积,并存,none,N1
P096,无冲突,构成要件关系,并存,none,N9；适用对象不同
P097,无冲突,程序并行,并存,none,N6
P098,无冲突,跨法域义务累积,并存,none,N1
P099,无冲突,程序并行,并存,none,N6
P100,无冲突,跨法域义务累积,并存,none,N1
P101,无冲突,跨法域义务累积,并存,none,N1
P102,无冲突,程序并行,并存,none,N10；N6
P103,无冲突,程序并行,并存,none,N6
P104,无冲突,跨法域义务累积,并存,none,N1
P105,无冲突,跨法域义务累积,并存,none,N1
P106,无冲突,效力位阶不对等,并存,none,N2；N7
P107,无冲突,同法内技术要求并行,并存,none,N2；N4
P108,无冲突,效力位阶不对等,并存,none,N2
P109,无冲突,效力位阶不对等,并存,none,N2；N1
P110,无冲突,效力位阶不对等,并存,none,N2
P111,无冲突,效力位阶不对等,并存,none,N2
P112,无冲突,效力位阶不对等,并存,none,N2
P113,无冲突,效力位阶不对等,并存,none,N2
P114,无冲突,效力位阶不对等,并存,none,N2；N7
P115,无冲突,效力位阶不对等,并存,none,N2
P116,无冲突,程序并行,并存,none,N10
P117,无冲突,程序并行,并存,none,N10
P118,无冲突,程序并行,并存,none,N10
P119,场景依赖,适用条件互斥,依事实定,lex_specialis,N5
P120,无冲突,同一条文重复建模,并存,none,N7；建议合并
P121,无冲突,跨法域义务累积,并存,none,N1；N7
P122,无冲突,同一条文重复建模,并存,none,N7；CN_PIPL_028与CN_PIPL_Art28_001系同一条文，属自配对，应删除
P123,无冲突,跨法域义务累积,并存,none,N1；N7
P124,无冲突,跨法域义务累积,并存,none,N1
P125,无冲突,跨法域义务累积,并存,none,N1
P126,无冲突,同法内条文分工,并存,none,N4
P127,无冲突,未生效条文,并存,none,N3；N4
