pair_id,专家裁决,专家冲突类型,专家压制方向,专家法理依据,专家备注
P150,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2
P151,无冲突,条例与实施细则的具体化,并存,lex_specialis,N4；N10
P152,无冲突,跨法域义务累积,并存,none,N1；N10
P153,无冲突,规制对象不同,并存,lex_specialis,N10；N5；数量豁免不豁免遗传资源备案备份
P155,无冲突,适用条件互斥,不竞合(要件互斥),none,N5；须补正理由：即使第5条豁免成立，也仅免除评估/合同/认证，绝不免除PIPL第39条告知与单独同意
P156,场景依赖,适用要件由主体身份决定,待定,none,N5；N11；不得以"未表明属CIIO"推定第40条不适用，须回填主体身份与累计人数
P157,无冲突,跨法域义务累积,并存,none,N1
P158,无冲突,跨法域义务累积,并存,none,N1
P159,无冲突,跨法域义务累积,并存,none,N1
P160,无冲突,未生效条文,并存,none,N3；第33条未实施，仍受其余保障资料原则规管
P161,无冲突,上位法与具体化,并存,lex_specialis,N6
P162,无冲突,构成要件关系（敏感信息识别）,并存,none,N9；N2
P164,无冲突,跨法域义务累积,并存,none,N1；澳门例外不免除内地出境路径义务
P165,无冲突,跨法域义务累积,并存,none,N1；N11
P167,无冲突,推荐性指南与澳门转移例外,并存,none,N2；N1
P168,无冲突,推荐性指南与法定保安义务,并存,none,N2；N1
P169,无冲突,同法内条文分工,并存,none,N4
