pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P021,CN_GDHMD_008,HK_PDPO_DPP1_002,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,38,HK->CN:38,并存（按孰严执行）:38,并行义务:38,contextual:38,GBAMC-DRAFT-0004,香港PDPO收集目的原则要求合法、适度；广东团标要求检验检查数据跨境远程会诊需假名化ID和水印。两者并行适用，义务累积，无排斥。,,,,,
P022,CN_GBA_MO_GUIDE_Art2,CN_HGR_Art28_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,37,CN->MO:37,并存（按孰严执行）:37,并行义务:37,lex_specialis:26; contextual:8; none:3,GBAMC-DRAFT-0614,基因测序数据属人类遗传资源信息，向澳门提供须依《人类遗传资源管理条例》第28条备案备份；GBA标准合同不豁免该义务，二者并行。,,,,,
P023,CN_PIPL_Art38_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,36,CN->HK:36,并存（按孰严执行）:36,并行义务:36,contextual:31; none:5,GBAMC-DRAFT-0246,内地出境条件与香港使用限制分属不同法域，义务累积适用，不存在一方压制另一方。,,,,,
P024,CN_GDHMD_008,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,35,MO->CN:35,并存（按孰严执行）:35,并行义务:35,contextual:35,GBAMC-DRAFT-0147,检验检查数据分类分级要求与澳门跨境转移原则分属不同法域，并行适用；内地标准不具法律强制力，不得压制澳门法律。,,,,,
P025,CN_OUTBOUND_Art5_004,CN_SPI_008,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,AI裁决不一致,normalized_basis_to_none:34,34,CN->MO:34,排除左:32; 排除右:2,一般与例外:34,none:34,GBAMC-DRAFT-0600,用药记录属敏感个人信息，第5条豁免仅适用于不含敏感个人信息且不满10万人的情形。本操作涉及敏感个人信息，第5条豁免不适用，应依第7条或第8条判断。,,,,,
P026,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,32,CN->MO:32,并存（按孰严执行）:32,并行义务:28; 一般与例外:4,lex_specialis:28; contextual:4,GBAMC-DRAFT-0614,PIPL第38条列举出境合法路径，GBA标准合同属其中标准合同路径的区域安排。两者并行，不排斥，应同时满足。,,,,,
P027,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art38_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,30,CN->HK:30,并存（按孰严执行）:30,并行义务:30,contextual:26; none:4,GBAMC-DRAFT-0241,GBA指引要求开展个人信息保护影响评估，PIPL第38条要求具备安全评估、认证或标准合同等条件之一。两者并行，均须满足。,,,,,
P028,CN_GDHMD_001,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,30,HK->CN:30,并存（按孰严执行）:30,并行义务:30,contextual:30,GBAMC-DRAFT-0004,香港PDPO保安原则要求采取切实可行措施保障资料；广东团标要求基因数据匿名化处理。两者均为保安义务，并行不悖，按孰严执行。,,,,,
P029,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:29,29,CN->HK:29,待定（口径未明）:29,并行义务:29,contextual:25; none:3; lex_specialis:1,GBAMC-DRAFT-0240,GBA指引要求标准合同备案，出境规定要求订立标准合同或认证；备案与订立并行，不构成冲突。,,,,,
P030,CN_SPI_001,HK_PDPO_DPP4_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,28,HK->CN:28,并存（按孰严执行）:28,并行义务:28,contextual:28,GBAMC-DRAFT-0482,香港PDPO保安原则要求保障资料免受未获准许查阅，内地指南将住院病历列为敏感个人信息；两者分属不同法域，义务并存，按孰严执行，不构成冲突。,,,,,
P031,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,27,CN->HK:27,并存（按孰严执行）:27,并行义务:22; 一般与例外:5,lex_specialis:26; contextual:1,GBAMC-DRAFT-0240,PIPL第38条列举出境合法路径；GBA指引提供标准合同这一具体方式，属第38条第（四）项其他条件。二者为一般与特别关系，应累积适用。,,,,,
P032,CN_SPI_001,HK_PDPO_DPP3_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,26,HK->CN:26,并存（按孰严执行）:26,并行义务:26,contextual:26,GBAMC-DRAFT-0484,香港使用限制原则与内地敏感个人信息处理规则并行适用，无相互排斥，应累积遵守。,,,,,
P033,CN_GDHMD_001,HK_PDPO_DPP1_002,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,25,HK->CN:25,并存（按孰严执行）:25,并行义务:25,contextual:25,GBAMC-DRAFT-0000,香港收集目的原则与广东团体标准分级建议并行；团体标准非法规，不得以“4级需国家审批”压制香港条例，义务累积适用。,,,,,
P034,CN_GDHMD_001,CN_HGR_Art28_001,广东省健康医疗数据安全分类分级管理技术规范,人类遗传资源管理条例,团体标准（推荐性技术文件）,行政法规,AI裁决不一致,normalized_basis_to_none:16,23,CN->MO:23,并存（按孰严执行）:11; 排除左:11; 无冲突:1,并行义务:12; 强制与可选:10; 一般与例外:1,none:23,GBAMC-DRAFT-0605,团体标准非法规，不得以“4级数据需国家审批”压制行政法规。基因数据出境应并行适用人类遗传资源备案备份及安全审查义务。,,,,,
P035,CN_GDHMD_023,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,22,MO->CN:22,并存（按孰严执行）:22,并行义务:22,contextual:22,GBAMC-DRAFT-0363,澳门法律要求出境适当保护，内地团体标准建议生命体征数据DTLS加密；分属不同法域，义务并行不排斥，按孰严执行。,,,,,
P036,CN_SPI_001,HK_PDPO_DPP1_002,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,22,HK->CN:22,并存（按孰严执行）:22,并行义务:22,contextual:22,GBAMC-DRAFT-0484,香港PDPO收集目的限制与内地敏感个人信息识别分属不同法域，义务并存，不相互排斥，按孰严执行。,,,,,
P037,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP4_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,21,CN->HK:21,并存（按孰严执行）:21,并行义务:21,contextual:18; none:3,GBAMC-DRAFT-0240,香港PDPO第4原则要求采取保安措施；GBA指引第5条要求开展影响评估。两者均为安全义务，内容互补，应累积履行。,,,,,
P038,CN_GDHMD_008,CN_OUTBOUND_Art5_004,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_basis_to_none:16,21,CN->HK:21,排除左:14; 无冲突:6; 并存（按孰严执行）:1,强制与可选:16; 并行义务:5,none:21,GBAMC-DRAFT-0241,广东省团体标准为推荐性技术文件，不得以数据分级触发国家审批或压制部门规章。第5条豁免仅适用于不含敏感个人信息且不满10万人的情形，本操作含敏感个人信息，不适用豁免。,,,,,
P039,CN_GDHMD_008,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_basis_to_none:15,21,CN->HK:12; CN->MO:9,排除左:13; 并存（按孰严执行）:6; 无冲突:2,强制与可选:15; 并行义务:6,none:21,GBAMC-DRAFT-0240,广东团体标准为推荐性技术文件，效力位阶低于部门规章，不得以数据分级触发国家审批。第7条安全评估门槛以敏感个人信息人数为准，不因3级数据而改变。,,,,,
P040,CN_GDHMD_008,MO_PDPA_Art19_002,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,20,MO->CN:20,并存（按孰严执行）:20,并行义务:20,contextual:20,GBAMC-DRAFT-0121,广东团体标准建议假名化与水印，澳门PDPA第19条第2款要求个案决定；二者并行，不构成一方压制另一方，应同时满足。,,,,,
P041,CN_OUTBOUND_Art7_002,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,部门规章,部门规章,同法内关系; AI裁决不一致,,20,CN->HK:13; CN->MO:7,并存（按孰严执行）:12; 无冲突:5; 排除右:3,一般与例外:20,contextual:15; lex_specialis:4; lex_superior:1,GBAMC-DRAFT-0250,二者按敏感个人信息数量分流：1万人以上应安全评估，不满1万人可标准合同或认证；本操作未给敏感人数，须按实际人数择一适用。,,,,,
P042,CN_GBA_HK_GUIDE_Art2,CN_HGR_Art28_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,19,CN->HK:19,并存（按孰严执行）:19,并行义务:19,lex_specialis:15; contextual:2; lex_superior:1; none:1,GBAMC-DRAFT-0245,基因测序数据属人类遗传资源信息，向香港提供须依《人类遗传资源管理条例》第28条备案并备份；同时可适用GBA标准合同路径。两者并行，须同时履行。,,,,,
P043,CN_GDHMD_001,MO_PDPA_Art19_002,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,18,MO->CN:18,并存（按孰严执行）:18,并行义务:18,contextual:18,GBAMC-DRAFT-0120,澳门当局可个案决定向保护不足地区转移；广东团标建议基因数据需审批。两者并行，澳门个案决定不豁免内地法定义务，但内地现行法无此审批，团标不构成强制。,,,,,
P044,CN_SPI_001,MO_PDPA_Art19_001,网络安全标准实践指南 — 敏感个人信息识别指南,澳门《个人资料保护法》,技术指南（推荐性）,澳门法律,跨法域,,18,MO->CN:18,并存（按孰严执行）:18,并行义务:18,contextual:17; none:1,GBAMC-DRAFT-0120,澳门出境须确保接收地适当保护，内地要求住院病历按敏感个人信息保护，分属不同法域，义务并存按孰严执行。,,,,,
P045,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,17,CN->MO:17,并存（按孰严执行）:17,并行义务:17,contextual:17,GBAMC-DRAFT-0618,GBA指引要求标准合同备案；澳门PDPA要求个案决定转移许可。两者并行，按各自程序履行。,,,,,
P046,CN_PIPL_Art38_001,HK_PDPO_DPP1_002,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,16,CN->HK:16,并存（按孰严执行）:16,并行义务:16,contextual:16,GBAMC-DRAFT-0240,内地PIPL第38条与香港PDPO保障资料第1原则分属不同法域，义务累积适用，不存在一方压制另一方。,,,,,
P047,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP3_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,15,CN->HK:15,并存（按孰严执行）:15,并行义务:15,contextual:14; none:1,GBAMC-DRAFT-0243,GBA指引第4条要求跨境提供前按属地法律告知或取得同意，且不得向大湾区外提供；香港PDPO第3原则限制资料用于收集时拟使用目的或直接相关用途。两者并行，药物警戒目的须同时满足内地告知同意与香港使用限制要求。,,,,,
P048,CN_PIPL_Art40_001,HK_PDPO_DPP4_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,15,CN->HK:15,并存（按孰严执行）:15,并行义务:15,contextual:15,GBAMC-DRAFT-0247,内地境内存储与安全评估要求，与香港保安措施原则并行，分属不同法域，义务累积。,,,,,
P049,CN_OUTBOUND_Art7_002,MO_PDPA_Art19_002,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,14,CN->MO:14,并存（按孰严执行）:14,并行义务:14,contextual:13; none:1,GBAMC-DRAFT-0610,内地安全评估与澳门个案决定机制并行，分别由内地和澳门监管机构执行，义务并存。,,,,,
P050,CN_OUTBOUND_Art8_001,MO_PDPA_Art19_002,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,14,CN->MO:14,并存（按孰严执行）:14,并行义务:14,contextual:13; none:1,GBAMC-DRAFT-0600,内地侧不满1万人敏感个人信息应订立标准合同或认证；澳门侧如目的地保护程度不足则由个人资料保护当局个案决定。两法域义务并行，需同时满足。,,,,,
P051,CN_GDHMD_023,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_basis_to_none:8,13,CN->MO:13,并存（按孰严执行）:7; 排除左:6,强制与可选:8; 并行义务:5,none:12; contextual:1,GBAMC-DRAFT-0727,团体标准CN_GDHMD_023为推荐性技术文件，非法规，不得以数据分级触发国家审批或替代法律、部门规章。其加密传输要求可作为技术参考，但法律义务以PIPL及《促进和规范数据跨境流动规定》为准。,,,,,
P052,HK_PDPO_DPP1_002,HK_PDPO_DPP3_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,13,HK->CN:11; CN->HK:2,并存（按孰严执行）:13,并行义务:13,contextual:12; none:1,GBAMC-DRAFT-0269,香港PDPO保障资料第1及第3原则对接收方并行适用，须合法公平收集并限于药物警戒目的使用，与内地规则累积。,,,,,
P053,CN_GDHMD_008,CN_GDHMD_023,广东省健康医疗数据安全分类分级管理技术规范,广东省健康医疗数据安全分类分级管理技术规范,团体标准（推荐性技术文件）,团体标准（推荐性技术文件）,同法内关系,,12,MO->CN:12,并存（按孰严执行）:12,并行义务:12,none:8; contextual:4,GBAMC-DRAFT-0366,两规则均为推荐性团体标准，分别对检验影像与生命体征提出假名化、水印及加密要求，并行不冲突。,,,,,
P054,CN_SPI_001,MO_PDPA_Art20_001,网络安全标准实践指南 — 敏感个人信息识别指南,澳门《个人资料保护法》,技术指南（推荐性）,澳门法律,跨法域,,12,MO->CN:12,并存（按孰严执行）:12,并行义务:12,contextual:12,GBAMC-DRAFT-0120,澳门法允许同意等例外转移；内地指南将住院病历列为敏感个人信息。两者并行，内地指南不豁免澳门法义务，澳门例外亦不改变内地敏感信息定性。,,,,,
P055,CN_GBA_HK_GUIDE_Art2,HK_PDPO_S33_NOTE,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,11,CN->HK:11,并存（按孰严执行）:11,并行义务:11,contextual:11,GBAMC-DRAFT-0248,香港第33条未生效，跨境移转仍受PDPO原则规管；GBA指引为内地出境路径，两者并行不冲突。,,,,,
P056,CN_GBA_MO_GUIDE_Art2,CN_HGR_RULES_Art36_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例实施细则,规范性文件（实施指引）,部门规章（实施细则）,跨法域; GBA指引相关,,10,CN->MO:10,并存（按孰严执行）:10,并行义务:10,lex_specialis:7; contextual:2; none:1,GBAMC-DRAFT-0617,实施细则第36条细化人类遗传资源信息对外提供备案与安全审查程序，与GBA标准合同路径并行，不因订立标准合同而免除。,,,,,
P057,CN_PIPL_Art39_001,HK_PDPO_DPP1_002,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,10,CN->HK:10,并存（按孰严执行）:10,并行义务:10,contextual:9; none:1,GBAMC-DRAFT-0250,香港PDPO保障资料第1原则与内地PIPL第39条分属不同法域，义务累积适用，不存在一方压制另一方。,,,,,
P058,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,9,CN->MO:9,并存（按孰严执行）:9,并行义务:9,contextual:7; none:2,GBAMC-DRAFT-0637,GBA指引要求标准合同生效后10个工作日内向粤澳监管备案；澳门PDPA例外转移须通知公共当局。两者均为程序性义务，并行适用。,,,,,
P059,CN_OUTBOUND_Art7_002,MO_PDPA_Art19_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,9,CN->MO:9,并存（按孰严执行）:9,并行义务:9,contextual:8; none:1,GBAMC-DRAFT-0636,内地安全评估义务与澳门适当保护水平审查分属不同法域，义务并存，不存在一方压制另一方，须同时满足。,,,,,
