pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P032,CN_GDHMD_001,CN_HGR_Art28_001,广东省健康医疗数据安全分类分级管理技术规范,人类遗传资源管理条例,团体标准（推荐性技术文件）,行政法规,,,27,CN->MO:27,无冲突:27,并行义务:14; 强制与可选:12; 一般与例外:1,none:27,GBAMC-DRAFT-0605,团体标准非法规，不创设法律义务，不得以4级数据需国家审批压制人类遗传资源条例；后者为行政法规，独立适用。,,,,,
P033,CN_GBA_HK_GUIDE_Art8,CN_HGR_Art28_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,25,CN->HK:25,并存（按孰严执行）:25,并行义务:25,contextual:25,GBAMC-DRAFT-0245,人类遗传资源信息对外提供须向科技行政部门备案并备份，与GBA标准合同备案是并行程序，互不替代。,,,,,
P034,CN_GBA_MO_GUIDE_Art7,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,,25,CN->MO:25,并存（按孰严执行）:25,并行义务:25,contextual:23; lex_specialis:1; none:1,GBAMC-DRAFT-0612,GBA标准合同备案与数据出境安全评估申报系不同程序，并行不排斥。若触发安全评估，仍须履行GBA备案义务，两者累积。,,,,,
P035,CN_GBA_MO_GUIDE_Art7,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,,25,CN->MO:25,并存（按孰严执行）:25,并行义务:25,contextual:20; lex_specialis:5,GBAMC-DRAFT-0603,GBA标准合同须向粤网信或澳门个资局备案；出境规定要求标准合同或认证。两者并行，备案与合同订立义务同时履行。,,,,,
P036,CN_GDHMD_008,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,24,MO->CN:24,并存（按孰严执行）:24,并行义务:24,contextual:24,GBAMC-DRAFT-0120,分属不同法域，并行义务；推荐性技术文件仅供分级参考，不得作为审批或排除澳门法义务的依据。,,,,,
P037,CN_PIPL_Art39_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,24,CN->HK:24,并存（按孰严执行）:24,并行义务:24,contextual:24,GBAMC-DRAFT-0240,内地与香港法域义务累积适用，香港使用限制原则与内地单独同意要求并行，按孰严执行。,,,,,
P038,CN_GBA_HK_GUIDE_Art2,HK_PDPO_S33_NOTE,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关; AI裁决不一致,,23,CN->HK:23,并存（按孰严执行）:18; 无冲突:5,并行义务:23,contextual:21; none:2,GBAMC-DRAFT-0243,香港第33条尚未生效，跨境移转仍受PDPO其他条文及指引规管；与GBA标准合同路径并行，不构成冲突。,,,,,
P039,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art38_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,22,CN->HK:22,并存（按孰严执行）:22,并行义务:22,lex_specialis:21; lex_superior:1,GBAMC-DRAFT-0241,GBA指引要求开展个人信息保护影响评估，PIPL第38条要求具备出境合法路径之一。两者并行，影响评估不替代安全评估或标准合同等法定路径。,,,,,
P040,CN_OUTBOUND_Art7_002,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,部门规章,部门规章,同法内关系; AI裁决不一致,,22,CN->MO:12; CN->HK:10,并存（按孰严执行）:11; 排除右:5; 无冲突:3; 排除左:3,一般与例外:22,lex_specialis:22,GBAMC-DRAFT-0258,第7条与第8条按敏感个人信息人数分层适用；本操作累计41759人，未达1万人敏感信息门槛，应适用第8条。,,,,,
P041,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP3_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,20,CN->HK:20,并存（按孰严执行）:20,并行义务:20,contextual:20,GBAMC-DRAFT-0241,香港PDPO第3原则限制资料使用目的，GBA指引第4条要求告知同意且不得向大湾区外提供。两者并行，香港接收方使用数据须符合原收集目的。,,,,,
P042,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,18,CN->HK:18,并存（按孰严执行）:18,并行义务:15; 一般与例外:3,lex_specialis:18,GBAMC-DRAFT-0242,PIPL第38条出境路径与GBA标准合同路径并行，均需满足，不相互替代。,,,,,
P043,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,,17,CN->HK:17,并存（按孰严执行）:17,并行义务:17,contextual:15; lex_specialis:2,GBAMC-DRAFT-0241,GBA标准合同备案与数据出境安全评估申报系不同程序。若按第7条须安全评估，则不能仅以GBA备案替代；两者并行或按适用路径执行。,,,,,
P044,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP4_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,16,CN->HK:16,并存（按孰严执行）:16,并行义务:16,contextual:16,GBAMC-DRAFT-0241,香港PDPO第4原则要求保安措施，GBA指引第5条要求评估接收方能力。两者并行，内地处理者与香港接收方均须落实技术和组织保障。,,,,,
P045,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art7_002,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,部门规章,部门规章,同法内关系; AI裁决不一致,,16,CN->MO:9; CN->HK:7,排除左:15; 并存（按孰严执行）:1,一般与例外:16,lex_specialis:16,GBAMC-DRAFT-0279,第5条豁免仅适用于不含敏感个人信息且不满10万人情形；本操作涉及敏感个人信息，第5条豁免不适用，应按第7条判断是否需安全评估。二者为一般与例外关系，义务并存。,,,,,
P046,CN_GDHMD_001,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,15,HK->CN:15,并存（按孰严执行）:15,并行义务:15,contextual:15,GBAMC-DRAFT-0000,香港保安原则要求保障资料安全，广东团标建议匿名化处理，二者并行不矛盾，按孰严标准执行。,,,,,
P047,CN_GDHMD_008,HK_PDPO_DPP1_002,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,15,HK->CN:15,并存（按孰严执行）:15,并行义务:15,contextual:15,GBAMC-DRAFT-0000,香港收集目的与适度原则与广东团标检验影像分级建议并行，团标非法规，不压制PDPO，义务累积适用。,,,,,
P048,CN_SPI_001,MO_PDPA_Art19_001,网络安全标准实践指南 — 敏感个人信息识别指南,澳门《个人资料保护法》,技术指南（推荐性）,澳门法律,跨法域,,15,MO->CN:15,并存（按孰严执行）:15,并行义务:15,contextual:15,GBAMC-DRAFT-0120,内地敏感个人信息识别指南与澳门PDPA分属不同法域，义务并存；指南为推荐性，不创设出境审批义务。,,,,,
P049,CN_PIPL_Art38_001,HK_PDPO_DPP1_002,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,14,CN->HK:14,并存（按孰严执行）:14,并行义务:14,contextual:14,GBAMC-DRAFT-0249,内地出境路径义务与香港保障资料原则分属不同法域，累积适用，按孰严执行。,,,,,
P050,CN_SPI_001,HK_PDPO_DPP4_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,14,HK->CN:14,并存（按孰严执行）:14,并行义务:14,contextual:14,GBAMC-DRAFT-0490,香港PDPO保安措施义务与内地敏感个人信息识别指南分属不同法域，前者要求保障资料安全，后者仅作分类参考，二者并行不排斥，应累积适用。,,,,,
P051,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,,13,CN->HK:13,并存（按孰严执行）:13,并行义务:13,lex_specialis:8; contextual:5,GBAMC-DRAFT-0261,GBA指引要求标准合同备案，出境规定要求标准合同或认证。两者并行，备案与合同订立需同时完成。,,,,,
P052,CN_PIPL_Art39_001,HK_PDPO_DPP1_003,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,13,CN->HK:13,并存（按孰严执行）:13,并行义务:13,contextual:13,GBAMC-DRAFT-0242,内地告知同意与香港告知义务分属不同法域，义务累积适用，按孰严执行。,,,,,
P053,HK_PDPO_DPP4_001,HK_PDPO_S33_NOTE,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,13,HK->CN:13,并存（按孰严执行）:13,并行义务:13,contextual:12; none:1,GBAMC-DRAFT-0005,第33条未生效，跨境移转仍受保障资料原则规管；保安措施义务与背景说明并行适用。,,,,,
P054,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,12,CN->MO:12,并存（按孰严执行）:12,并行义务:12,contextual:12,GBAMC-DRAFT-0623,内地出境路径与澳门PDPA第19条适当保护程度要求分属不同法域，义务累积适用，按孰严执行。,,,,,
P055,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,11,CN->MO:11,并存（按孰严执行）:11,并行义务:7; 一般与例外:4,lex_specialis:11,GBAMC-DRAFT-0614,PIPL第38条出境路径与GBA标准合同指引为同一出境义务的双重基础；GBA路径属具体化安排，义务并存。,,,,,
P056,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,11,CN->MO:11,并存（按孰严执行）:11,并行义务:11,contextual:11,GBAMC-DRAFT-0600,GBA标准合同备案与澳门PDPA第19条适当保护程度评估并行，分属不同法域监管程序，须同时履行。,,,,,
P057,CN_OUTBOUND_Art5_004,CN_SPI_008,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,,normalized_element_relationship:11,11,CN->MO:10; CN->HK:1,不竞合（要件互斥）:11,构成要件关系:11,none:11,GBAMC-DRAFT-0352,用药记录属敏感个人信息，第5条豁免仅适用于不含敏感个人信息情形，故该豁免不适用。,,,,,
P058,CN_GDHMD_001,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,,,10,CN->MO:10,无冲突:10,强制与可选:9; 并行义务:1,none:10,GBAMC-DRAFT-0621,团体标准非法规，不得以4级数据需国家审批压制部门规章；现行法无数据分级触发的国家审批制度，该规则不创设法律义务。,,,,,
P059,CN_GDHMD_001,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,,,10,CN->MO:10,无冲突:10,强制与可选:6; 并行义务:4,none:10,GBAMC-DRAFT-0611,团体标准为推荐性技术文件，不创设法律义务，不得以4级数据需国家审批压制或替代PIPL出境路径。,,,,,
P060,CN_GDHMD_002,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,10,HK->CN:10,并存（按孰严执行）:10,并行义务:10,contextual:10,GBAMC-DRAFT-0481,香港保安措施要求与内地可穿戴数据加密要求并行，均要求保障数据安全，按孰严执行。,,,,,
P061,CN_GDHMD_023,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,,,10,CN->MO:10,无冲突:10,强制与可选:9; 并行义务:1,none:10,GBAMC-DRAFT-0733,推荐性技术文件不创设法律义务，不得作为审批或排除依据；生命体征数据出境仍须满足PIPL第38条路径要求。,,,,,
P062,CN_OUTBOUND_Art5_004,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,10,CN->HK:9; CN->MO:1,无冲突:10,并行义务:10,lex_specialis:10,GBAMC-DRAFT-0241,PIPL第38条规定出境路径，出境规定第5条为豁免条款。本操作含敏感个人信息且累计12649人，第5条豁免不适用，仍须按第38条选择路径。,,,,,
P063,CN_GDHMD_023,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,,,9,CN->MO:9,无冲突:9,并行义务:6; 强制与可选:3,none:9,GBAMC-DRAFT-0727,生命体征加密传输要求出自团体标准，非法律义务，不能替代或压制部门规章的出境路径判断。应依PIPL及出境规定确定合规义务。,,,,,
