pair_id,left_rule_id,right_rule_id,出现查询数,方向分布,校验标记,专家裁决,专家冲突类型,专家压制方向,专家法理依据,专家备注
P025,CN_GBA_HK_GUIDE_Art2,HK_PDPO_S33_NOTE,21,CN->HK:21,,无冲突,未生效条文,并存,none,N3
P026,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art38_001,21,CN->HK:21,,无冲突,程序并行,并存,none,N6
P027,CN_GDHMD_023,MO_PDPA_Art19_001,20,MO->CN:20,,无冲突,效力位阶不对等,并存,none,N2；N1
P028,CN_PIPL_Art28_001,HK_PDPO_DPP1_003,20,HK->CN:20,,无冲突,跨法域义务累积,并存,none,N1
P029,CN_PIPL_Art28_008,HK_PDPO_DPP3_001,20,CN->HK:20,,无冲突,跨法域义务累积,并存,none,N1
P030,HK_PDPO_DPP1_003,HK_PDPO_DPP3_001,20,HK->CN:20,,无冲突,同法内条文分工,并存,none,N4
P031,CN_GDHMD_002,HK_PDPO_DPP3_001,19,HK->CN:19,,无冲突,效力位阶不对等,并存,none,N2；N1
P032,CN_OUTBOUND_Art7_002,CN_OUTBOUND_Art8_001,19,CN->HK:19,threshold_statement_contradiction:1,场景依赖,分层适用,依事实定,lex_specialis,N5；按累计人数与敏感属性分层，非竞合
P033,CN_PIPL_Art39_001,HK_PDPO_DPP1_002,19,CN->HK:19,,无冲突,跨法域义务累积,并存,none,N1
P034,MO_PDPA_Art19_002,MO_PDPA_Art20_001,19,MO->CN:19,,无冲突,同法内一般与例外,并存,lex_specialis,N4
P035,CN_GDHMD_008,HK_PDPO_DPP3_001,18,HK->CN:18,,无冲突,效力位阶不对等,并存,none,N2；N1
P036,CN_GDHMD_002,HK_PDPO_DPP1_002,17,HK->CN:17,,无冲突,效力位阶不对等,并存,none,N2；N1
P037,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art8_001,16,CN->HK:16,gba_quantitative_exemption_disputed:16,无冲突,程序并行,并存,none,N6；备案与订约互不替代
P038,CN_PIPL_028,HK_PDPO_DPP1_002,16,HK->CN:16,,无冲突,跨法域义务累积,并存,none,N1；N7
P039,CN_PIPL_Art28_001,HK_PDPO_S33_NOTE,16,HK->CN:16,,无冲突,未生效条文,并存,none,N3
P040,CN_GDHMD_002,CN_PIPL_Art28_001,15,HK->CN:15,,无冲突,效力位阶不对等,并存,none,N2
P041,CN_OUTBOUND_Art5_004,CN_PIPL_Art28_008,15,CN->HK:15,,无冲突,构成要件关系,并存,none,N9；第28条界定敏感性，决定第5条豁免条件是否成就
P042,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP3_001,14,CN->HK:14,,无冲突,跨法域义务累积,并存,none,N1
P043,CN_GDHMD_001,MO_PDPA_Art19_002,13,MO->CN:13,,无冲突,效力位阶不对等,并存,none,N2；N1
P044,CN_PIPL_028,HK_PDPO_DPP1_003,13,HK->CN:13,,无冲突,跨法域义务累积,并存,none,N1；N7
P045,CN_GDHMD_008,CN_PIPL_Art28_001,12,MO->CN:11; HK->CN:1,,无冲突,效力位阶不对等,并存,none,N2
P046,CN_GDHMD_023,HK_PDPO_DPP3_001,12,HK->CN:12,,无冲突,效力位阶不对等,并存,none,N2；N1
P047,CN_PIPL_Art38_001,HK_PDPO_DPP1_002,12,CN->HK:12,,无冲突,跨法域义务累积,并存,none,N1
P048,CN_GDHMD_008,HK_PDPO_DPP1_002,11,HK->CN:11,,无冲突,效力位阶不对等,并存,none,N2；N1
P049,CN_GDHMD_008,HK_PDPO_DPP1_003,11,HK->CN:11,normalized_weak_norm_cross_jurisdiction:2,无冲突,效力位阶不对等,并存,none,N2；N1
P050,CN_GDHMD_008,MO_PDPA_Art19_002,11,MO->CN:11,,无冲突,效力位阶不对等,并存,none,N2；N1
P051,CN_GDHMD_023,CN_PIPL_Art28_001,11,HK->CN:11,,无冲突,效力位阶不对等,并存,none,N2
P052,CN_OUTBOUND_Art7_002,CN_PIPL_Art40_001,11,CN->HK:11,,无冲突,上位法与实施细化,并存,lex_specialis,"第7条系PIPL第40条""网信部门规定数量""的具体化，同一义务双重基础"
P053,CN_GDHMD_023,HK_PDPO_DPP1_003,10,HK->CN:10,,无冲突,效力位阶不对等,并存,none,N2；N1
P054,CN_GDHMD_023,MO_PDPA_Art20_001,10,MO->CN:10,,无冲突,效力位阶不对等,并存,none,N2；N1
P055,CN_PIPL_Art39_001,HK_PDPO_DPP3_001,10,CN->HK:10,,无冲突,跨法域义务累积,并存,none,N1
P056,CN_GDHMD_001,CN_PIPL_028,9,HK->CN:9,,无冲突,效力位阶不对等,并存,none,N2；N7
P057,CN_GDHMD_001,HK_PDPO_S33_NOTE,9,HK->CN:9,normalized_weak_norm_cross_jurisdiction:1,无冲突,效力位阶不对等,并存,none,N2；N3
P058,CN_GDHMD_008,CN_PIPL_028,9,HK->CN:7; MO->CN:2,,无冲突,效力位阶不对等,并存,none,N2；N7
P059,CN_GDHMD_008,MO_PDPA_Art20_001,7,MO->CN:7,,无冲突,效力位阶不对等,并存,none,N2；N1
P060,CN_PIPL_028,MO_PDPA_Art19_001,7,MO->CN:7,,无冲突,跨法域义务累积,并存,none,N1；N7
P061,CN_GDHMD_001,HK_PDPO_DPP1_003,6,HK->CN:6,,无冲突,效力位阶不对等,并存,none,N2；N1
P062,CN_PIPL_Art28_017,HK_PDPO_DPP3_001,6,HK->CN:6,,无冲突,跨法域义务累积,并存,none,N1
P063,CN_CSSPG_001,CN_PIPL_Art28_001,5,HK->CN:4; MO->CN:1,,无冲突,效力位阶不对等,并存,none,N2（推荐性技术指南）；N9
P064,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP1_002,5,CN->HK:5,,无冲突,跨法域义务累积,并存,none,N1
P065,CN_GBA_HK_GUIDE_Art5,CN_HGR_RULES_Art36_001,5,CN->HK:5,,无冲突,程序并行,并存,none,N10；N6
P066,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP1_002,5,CN->HK:5,,无冲突,跨法域义务累积,并存,none,N1
P067,CN_GBA_HK_GUIDE_Art8,HK_PDPO_S33_NOTE,5,CN->HK:5,,无冲突,未生效条文,并存,none,N3
P068,CN_GDHMD_002,HK_PDPO_DPP1_003,5,HK->CN:5,,无冲突,效力位阶不对等,并存,none,N2；N1
P069,CN_GDHMD_008,CN_GDHMD_023,5,MO->CN:5,,无冲突,同法内技术要求并行,并存,none,N2；N4
P070,CN_GDHMD_023,HK_PDPO_DPP1_002,5,HK->CN:5,,无冲突,效力位阶不对等,并存,none,N2；N1
P071,CN_GDHMD_023,MO_PDPA_Art19_002,5,MO->CN:5,,无冲突,效力位阶不对等,并存,none,N2；N1
P072,CN_PIPL_Art28_015,MO_PDPA_Art19_001,5,MO->CN:5,,无冲突,跨法域义务累积,并存,none,N1
P073,CN_GDHMD_008,CN_OUTBOUND_Art5_004,4,CN->HK:4,,无冲突,效力位阶不对等,并存,none,N2
P074,CN_PIPL_028,HK_PDPO_S33_NOTE,4,HK->CN:4,,无冲突,未生效条文,并存,none,N3；N7
P075,CN_PIPL_Art28_008,HK_PDPO_DPP1_002,4,CN->HK:4,,无冲突,跨法域义务累积,并存,none,N1
P076,CN_PIPL_Art40_001,HK_PDPO_S33_NOTE,4,CN->HK:4,,无冲突,未生效条文,并存,none,N3
P077,HK_PDPO_DPP3_001,HK_PDPO_S33_NOTE,4,HK->CN:4,,无冲突,未生效条文,并存,none,N3；N4
P078,CN_GBA_HK_GUIDE_Art5,CN_GBA_HK_GUIDE_Art8,3,CN->HK:3,,无冲突,同法内程序并行,并存,none,N4；N6
P079,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art39_001,3,CN->HK:3,,无冲突,程序并行,并存,none,N6
P080,CN_GDHMD_002,HK_PDPO_S33_NOTE,3,HK->CN:3,,无冲突,效力位阶不对等,并存,none,N2；N3
P081,CN_GDHMD_008,CN_OUTBOUND_Art8_001,3,CN->HK:3,,无冲突,效力位阶不对等,并存,none,N2
P082,CN_GDHMD_023,HK_PDPO_S33_NOTE,3,HK->CN:3,,无冲突,效力位阶不对等,并存,none,N2；N3
P083,CN_HGR_RULES_Art36_001,CN_OUTBOUND_Art7_002,3,CN->HK:3,,无冲突,程序并行,并存,none,N10；N6
P084,CN_PIPL_007,HK_PDPO_S33_NOTE,3,HK->CN:3,,无冲突,未生效条文,并存,none,N3；N7
P085,CN_PIPL_Art28_015,MO_PDPA_Art19_002,3,MO->CN:3,,无冲突,跨法域义务累积,并存,none,N1
P086,MO_PDPA_Art19_001,MO_PDPA_Art19_002,3,MO->CN:3,,无冲突,同法内一般与例外,并存,lex_specialis,N4
P087,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art7_002,2,CN->HK:2,gba_quantitative_exemption_disputed:2,场景依赖,程序竞合,依事实定,contextual,N8；若终走安全评估路径则GBA备案义务不发生
P088,CN_GBA_HK_GUIDE_Art8,HK_PDPO_DPP1_003,2,CN->HK:2,,无冲突,跨法域义务累积,并存,none,N1
P089,CN_GDHMD_001,CN_PIPL_Art28_017,2,HK->CN:2,,无冲突,效力位阶不对等,并存,none,N2
P090,CN_GDHMD_001,MO_PDPA_Art20_001,2,MO->CN:2,,无冲突,效力位阶不对等,并存,none,N2；N1
P091,CN_GDHMD_002,CN_PIPL_028,2,HK->CN:2,,无冲突,效力位阶不对等,并存,none,N2；N7
P092,CN_HGR_Art28_001,CN_OUTBOUND_Art7_002,2,CN->HK:2,,无冲突,程序并行,并存,none,N10
P093,CN_PIPL_Art28_015,MO_PDPA_Art20_001,2,MO->CN:2,,无冲突,跨法域义务累积,并存,none,N1
P094,CN_PIPL_Art28_017,HK_PDPO_DPP1_002,2,HK->CN:2,,无冲突,跨法域义务累积,并存,none,N1
P095,CN_PIPL_Art28_017,HK_PDPO_DPP1_003,2,HK->CN:2,,无冲突,跨法域义务累积,并存,none,N1
P096,CN_CSSPG_001,CN_PIPL_Art28_015,1,MO->CN:1,,无冲突,构成要件关系,并存,none,N9；适用对象不同
P097,CN_GBA_HK_GUIDE_Art4,CN_PIPL_Art38_001,1,CN->HK:1,,无冲突,程序并行,并存,none,N6
P098,CN_GBA_HK_GUIDE_Art4,HK_PDPO_DPP1_003,1,CN->HK:1,,无冲突,跨法域义务累积,并存,none,N1
P099,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art28_008,1,CN->HK:1,,无冲突,程序并行,并存,none,N6
P100,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP1_003,1,CN->HK:1,,无冲突,跨法域义务累积,并存,none,N1
P101,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP3_001,1,CN->HK:1,,无冲突,跨法域义务累积,并存,none,N1
P102,CN_GBA_HK_GUIDE_Art8,CN_HGR_RULES_Art36_001,1,CN->HK:1,,无冲突,程序并行,并存,none,N10；N6
P103,CN_GBA_HK_GUIDE_Art8,CN_PIPL_Art38_001,1,CN->HK:1,,无冲突,程序并行,并存,none,N6
P104,CN_GBA_HK_GUIDE_Art8,HK_PDPO_DPP1_002,1,CN->HK:1,,无冲突,跨法域义务累积,并存,none,N1
P105,CN_GBA_HK_GUIDE_Art8,HK_PDPO_DPP3_001,1,CN->HK:1,,无冲突,跨法域义务累积,并存,none,N1
P106,CN_GDHMD_001,CN_PIPL_007,1,HK->CN:1,,无冲突,效力位阶不对等,并存,none,N2；N7
P107,CN_GDHMD_002,CN_GDHMD_023,1,HK->CN:1,,无冲突,同法内技术要求并行,并存,none,N2；N4
P108,CN_GDHMD_002,CN_PIPL_Art28_017,1,HK->CN:1,,无冲突,效力位阶不对等,并存,none,N2
P109,CN_GDHMD_003,MO_PDPA_Art20_001,1,MO->CN:1,,无冲突,效力位阶不对等,并存,none,N2；N1
P110,CN_GDHMD_008,CN_OUTBOUND_Art7_002,1,CN->HK:1,,无冲突,效力位阶不对等,并存,none,N2
P111,CN_GDHMD_008,CN_PIPL_Art28_015,1,MO->CN:1,,无冲突,效力位阶不对等,并存,none,N2
P112,CN_GDHMD_008,CN_PIPL_Art28_017,1,HK->CN:1,,无冲突,效力位阶不对等,并存,none,N2
P113,CN_GDHMD_020,CN_PIPL_Art28_001,1,MO->CN:1,,无冲突,效力位阶不对等,并存,none,N2
P114,CN_GDHMD_023,CN_PIPL_028,1,HK->CN:1,,无冲突,效力位阶不对等,并存,none,N2；N7
P115,CN_GDHMD_023,CN_PIPL_Art28_015,1,MO->CN:1,,无冲突,效力位阶不对等,并存,none,N2
P116,CN_HGR_Art28_001,CN_OUTBOUND_Art8_001,1,CN->HK:1,,无冲突,程序并行,并存,none,N10
P117,CN_HGR_RULES_Art36_001,CN_OUTBOUND_Art8_001,1,CN->HK:1,,无冲突,程序并行,并存,none,N10
P118,CN_HGR_RULES_Art36_001,CN_PIPL_Art38_001,1,CN->HK:1,,无冲突,程序并行,并存,none,N10
P119,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art7_002,1,CN->HK:1,,场景依赖,适用条件互斥,依事实定,lex_specialis,N5
P120,CN_PIPL_007,CN_PIPL_Art28_001,1,HK->CN:1,,无冲突,同一条文重复建模,并存,none,N7；建议合并
P121,CN_PIPL_007,MO_PDPA_Art20_001,1,MO->CN:1,,无冲突,跨法域义务累积,并存,none,N1；N7
P122,CN_PIPL_028,CN_PIPL_Art28_001,1,HK->CN:1,,无冲突,同一条文重复建模,并存,none,N7；CN_PIPL_028与CN_PIPL_Art28_001系同一条文，属自配对，应删除
P123,CN_PIPL_028,MO_PDPA_Art19_002,1,MO->CN:1,,无冲突,跨法域义务累积,并存,none,N1；N7
P124,CN_PIPL_Art28_011,HK_PDPO_DPP3_001,1,HK->CN:1,,无冲突,跨法域义务累积,并存,none,N1
P125,CN_PIPL_Art28_017,MO_PDPA_Art19_001,1,MO->CN:1,,无冲突,跨法域义务累积,并存,none,N1
P126,HK_PDPO_DPP1_002,HK_PDPO_DPP1_003,1,CN->HK:1,,无冲突,同法内条文分工,并存,none,N4
P127,HK_PDPO_DPP1_002,HK_PDPO_S33_NOTE,1,HK->CN:1,,无冲突,未生效条文,并存,none,N3；N4
