pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据,专家备注,专家法理依据(lex_specialis/lex_superior/contextual/none)
P056,CN_GBA_MO_GUIDE_Art2,CN_HGR_RULES_Art36_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例实施细则,规范性文件（实施指引）,部门规章（实施细则）,跨法域; GBA指引相关,,10,CN->MO:10,并存（按孰严执行）:10,并行义务:10,lex_specialis:7; contextual:2; none:1,GBAMC-DRAFT-0617,实施细则第36条细化人类遗传资源信息对外提供备案与安全审查程序，与GBA标准合同路径并行，不因订立标准合同而免除。,,,,,,
P058,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,9,CN->MO:9,并存（按孰严执行）:9,并行义务:9,contextual:7; none:2,GBAMC-DRAFT-0637,GBA指引要求标准合同生效后10个工作日内向粤澳监管备案；澳门PDPA例外转移须通知公共当局。两者均为程序性义务，并行适用。,,,,,,
P059,CN_OUTBOUND_Art7_002,MO_PDPA_Art19_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,9,CN->MO:9,并存（按孰严执行）:9,并行义务:9,contextual:8; none:1,GBAMC-DRAFT-0636,内地安全评估义务与澳门适当保护水平审查分属不同法域，义务并存，不存在一方压制另一方，须同时满足。,,,,,,
P062,CN_GDHMD_002,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,8,HK->CN:8,并存（按孰严执行）:8,并行义务:8,contextual:8,GBAMC-DRAFT-0485,香港保安原则与内地团体标准加密要求并行，团体标准非法规但可作合规参考，义务并存。,,,,,,
P065,CN_OUTBOUND_Art7_002,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,8,CN->MO:7; CN->HK:1,并存（按孰严执行）:8,并行义务:7; 一般与例外:1,lex_specialis:5; lex_superior:3,GBAMC-DRAFT-0259,PIPL第38条为出境基本条件，第7条为敏感个人信息数量触发安全评估的具体化，二者并行不悖，应同时满足。,,,,,,
P066,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,7,CN->MO:7,并存（按孰严执行）:7,并行义务:7,contextual:7,GBAMC-DRAFT-0614,澳门PDPA要求接收地有适当保护水平，GBA标准合同为内地出境路径。分属不同法域，义务累积，不存在一方压制另一方。,,,,,,
P067,CN_GDHMD_001,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,AI裁决不一致,normalized_basis_to_none:6,7,CN->MO:7,排除左:6; 无冲突:1,强制与可选:6; 并行义务:1,none:7,GBAMC-DRAFT-0617,团体标准非法规，其“4级数据需国家审批”无法律依据；现行法不存在以数据分级为触发要件的国家审批制度，不得据此压制PIPL出境条件。,,,,,,
P068,CN_OUTBOUND_Art7_002,MO_PDPA_Art20_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,7,CN->MO:7,并存（按孰严执行）:7,并行义务:7,contextual:6; none:1,GBAMC-DRAFT-0609,内地要求超1万人敏感个人信息出境申报安全评估；澳门法在保护水平不足时设当事人同意等例外。两者分属内地与澳门法域，并行适用，不相互压制。,,,,,,
P069,CN_PIPL_Art39_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,7,CN->MO:7,并存（按孰严执行）:7,并行义务:7,contextual:6; none:1,GBAMC-DRAFT-0620,内地PIPL第39条要求告知并单独同意；澳门PDPA第19条要求确保接收地适当保护水平。分属不同法域，义务累积适用，不存在一方压制另一方。,,,,,,
P071,HK_PDPO_DPP1_003,HK_PDPO_DPP4_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,7,HK->CN:7,并存（按孰严执行）:7,并行义务:7,contextual:6; none:1,GBAMC-DRAFT-0015,告知义务与保安义务分属不同环节，均适用于本次跨境提供及训练操作，并行不冲突。,,,,,,
P074,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:6,6,CN->MO:6,待定（口径未明）:6,并行义务:5; 一般与例外:1,contextual:4; lex_superior:1; lex_specialis:1,GBAMC-DRAFT-0614,若处理者属关键信息基础设施运营者或达国家网信部门规定数量，须境内存储并通过安全评估；GBA标准合同不豁免该义务。两者并行，按孰严执行。,,,,,,
P075,CN_GBA_MO_GUIDE_Art7,CN_PIPL_Art38_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,6,CN->MO:6,并存（按孰严执行）:6,并行义务:6,none:4; contextual:2,GBAMC-DRAFT-0611,GBA指引要求标准合同备案，PIPL第38条要求具备安全评估、认证或标准合同等条件之一。备案与合规条件并行，义务累积。,,,,,,
P077,CN_HGR_Art28_001,CN_OUTBOUND_Art5_004,人类遗传资源管理条例,促进和规范数据跨境流动规定,行政法规,部门规章,,,6,CN->MO:6,并存（按孰严执行）:6,并行义务:3; 义务与许可:3,lex_specialis:5; none:1,GBAMC-DRAFT-0678,人类遗传资源管理条例第28条对向境外提供人类遗传资源信息设事先备案与信息备份义务，可能影响公众健康、国家安全和社会公共利益的还须安全审查；数据出境豁免规定不排除该特别义务。两者并行，应同时履行。,,,,,,
P079,HK_PDPO_DPP3_001,HK_PDPO_DPP4_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,6,HK->CN:6,并存（按孰严执行）:6,并行义务:6,contextual:5; none:1,GBAMC-DRAFT-0019,保安措施义务与使用限制义务并行，跨境AI训练场景下须同时确保资料安全及用途合规，不构成冲突。,,,,,,
P080,CN_CSSPG_001,HK_PDPO_DPP3_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,5,HK->CN:5,并存（按孰严执行）:5,并行义务:5,contextual:5,GBAMC-DRAFT-0048,香港PDPO使用限制原则与内地敏感个人信息识别指南分属不同法域，义务并行累积，不存在一方压制另一方。,,,,,,
P082,CN_GBA_HK_GUIDE_Art8,HK_PDPO_DPP4_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,5,CN->HK:5,并存（按孰严执行）:5,并行义务:5,contextual:5,GBAMC-DRAFT-0261,GBA指引要求标准合同生效后10个工作日内备案；香港PDPO要求采取保安措施。两者并行，应同时履行。,,,,,,
P083,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,5,CN->MO:5,并存（按孰严执行）:5,并行义务:5,contextual:3; none:2,GBAMC-DRAFT-0693,若澳门当局认为内地法律体系未确保适当保护程度，可个案决定是否允许转移；GBA指引不排除澳门PDPA的个案审查，二者并行。,,,,,,
P084,CN_GBA_MO_GUIDE_Art7,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:5,5,CN->MO:5,待定（口径未明）:5,并行义务:4; 义务与许可:1,contextual:4; none:1,GBAMC-DRAFT-0645,GBA指引要求标准合同备案，出境规定第7条要求安全评估申报。若适用GBA路径则备案，若触发第7条则评估，两者义务并存，按孰严执行。,,,,,,
P085,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,5,CN->MO:5,并存（按孰严执行）:5,并行义务:5,contextual:4; none:1,GBAMC-DRAFT-0664,内地侧标准合同备案与澳门侧PDPA第19条适当保护程度审查分属不同法域，义务累积适用，按孰严执行。,,,,,,
P088,CN_GDHMD_023,CN_PIPL_Art39_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,AI裁决不一致,normalized_basis_to_none:4,5,CN->MO:5,排除左:3; 无冲突:2,强制与可选:4; 并行义务:1,none:5,GBAMC-DRAFT-0736,生命体征监测数据跨境传输加密要求属推荐性技术标准，不能替代PIPL第39条告知与单独同意义务。二者层级不同，技术标准不压制法律义务。,,,,,,
P091,CN_OUTBOUND_Art8_001,MO_PDPA_Art19_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,5,CN->MO:5,并存（按孰严执行）:5,并行义务:5,contextual:5,GBAMC-DRAFT-0618,内地要求标准合同或认证；澳门要求确保接收地适当保护水平。分属不同法域，义务累积适用。,,,,,,
P092,CN_CSSPG_001,HK_PDPO_DPP1_002,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,4,HK->CN:4,并存（按孰严执行）:4,并行义务:4,contextual:4,GBAMC-DRAFT-0002,香港PDPO收集目的原则与内地敏感个人信息识别指南分属不同法域，前者为强制条例，后者为推荐性指南，义务并存，按孰严执行。,,,,,,
P093,CN_CSSPG_001,HK_PDPO_DPP4_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,4,HK->CN:4,并存（按孰严执行）:4,并行义务:4,contextual:4,GBAMC-DRAFT-0040,香港保安措施原则与内地敏感个人信息识别指南并行适用，义务累积；指南为推荐性技术指南，不得据此要求安全评估或境内存储。,,,,,,
P094,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,4,CN->MO:4,并存（按孰严执行）:4,并行义务:4,contextual:4,GBAMC-DRAFT-0693,澳门PDPA例外情形包括资料当事人明确同意等；GBA指引要求告知或取得同意。两者均为同意相关义务，并行适用，不构成排斥。,,,,,,
P095,CN_GDHMD_022,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,,normalized_basis_to_none:4,4,CN->MO:4,排除左:4,强制与可选:4,none:4,GBAMC-DRAFT-0625,CN_GDHMD_022系团体标准，要求诊断编码跨境DRG结算移除患者标识，但非法规。PIPL第38条为法律，出境条件以法律和部门规章为准，团体标准不得替代或压制法律义务。,,,,,,
P096,CN_GDHMD_023,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,AI裁决不一致,normalized_basis_to_none:4,4,CN->MO:4,排除左:3; 无冲突:1,强制与可选:4,none:4,GBAMC-DRAFT-0759,团体标准推荐的DTLS加密属技术指引，不能替代PIPL第38条要求的出境法定条件。生命体征数据出境仍须满足安全评估、标准合同或认证等法定路径。,,,,,,
P102,CN_OUTBOUND_Art7_002,CN_SPI_008,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,,,4,CN->MO:4,并存（按孰严执行）:4,并行义务:4,contextual:3; none:1,GBAMC-DRAFT-0664,用药记录属敏感个人信息，与第7条敏感个人信息超1万人申报安全评估的规则并行适用，不构成冲突。,,,,,,
P109,CN_GDHMD_003,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,,normalized_basis_to_none:3,3,CN->MO:3,排除左:3,强制与可选:3,none:3,GBAMC-DRAFT-0625,CN_GDHMD_003系团体标准，非法规，不得以数据分级触发国家审批。PIPL第38条为法律，出境条件以法律、行政法规和部门规章为准，团体标准不能压制或替代。,,,,,,
P112,CN_OUTBOUND_Art5_004,CN_SPI_015,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,AI裁决不一致,normalized_basis_to_none:3,3,CN->MO:3,排除右:2; 排除左:1,一般与例外:3,none:3,GBAMC-DRAFT-0797,睡眠监测报告属敏感个人信息，第5条豁免仅适用于不含敏感个人信息且不满10万人的情形；本案涉及敏感个人信息，第5条豁免不适用。,,,,,,
P113,CN_OUTBOUND_Art8_001,CN_SPI_008,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,,,3,CN->MO:3,并存（按孰严执行）:3,并行义务:3,contextual:2; none:1,GBAMC-DRAFT-0634,用药记录属敏感个人信息，触发PIPL及出境规定中敏感个人信息保护与出境条件；技术指南与部门规章并行适用，不构成排斥。,,,,,,
P114,CN_OUTBOUND_Art8_001,MO_PDPA_Art20_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,3,CN->MO:3,并存（按孰严执行）:3,并行义务:3,contextual:3,GBAMC-DRAFT-0613,内地侧因不满1万人敏感个人信息应订立标准合同或认证；澳门侧可依当事人明确同意等例外转移。两法域义务并行，不相互排斥。,,,,,,
P119,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,2,CN->MO:2,并存（按孰严执行）:2,并行义务:2,contextual:2,GBAMC-DRAFT-0614,澳门当局个案决定与内地告知同意义务并行。分属不同法域，义务累积，按孰严执行。,,,,,,
P120,CN_GDHMD_001,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,,normalized_basis_to_none:2,2,CN->MO:2,排除左:2,强制与可选:2,none:2,GBAMC-DRAFT-0687,团体标准非法规，不得以4级数据需国家审批压制部门规章；现行法无数据分级触发国家审批制度。,,,,,,
P124,CN_GDHMD_008,CN_SPI_008,广东省健康医疗数据安全分类分级管理技术规范,网络安全标准实践指南 — 敏感个人信息识别指南,团体标准（推荐性技术文件）,技术指南（推荐性）,,,2,CN->MO:2,并存（按孰严执行）:2,并行义务:2,none:1; contextual:1,GBAMC-DRAFT-0701,用药记录依敏感个人信息识别指南属敏感个人信息，须遵循PIPL保护规则；检验检查报告依广东团体标准属3级数据，建议假名化与水印。团体标准非法规，不得压制法律，二者并行参考适用。,,,,,,
P126,CN_GDHMD_022,CN_PIPL_Art39_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,AI裁决不一致,normalized_basis_to_none:1,2,CN->MO:2,排除左:1; 并存（按孰严执行）:1,强制与可选:1; 并行义务:1,none:2,GBAMC-DRAFT-0604,团体标准推荐性要求不得替代PIPL第39条单独同意义务；诊断编码跨境仍须履行法律告知同意。,,,,,,
P127,CN_HGR_Art28_001,CN_PIPL_Art38_001,人类遗传资源管理条例,个人信息保护法,行政法规,法律,,,2,CN->HK:2,并存（按孰严执行）:2,并行义务:2,lex_specialis:1; none:1,GBAMC-DRAFT-0344,基因测序数据向香港提供，既触发人类遗传资源信息备案与备份义务，也触发个人信息出境合规路径，二者并行不排斥。,,,,,,
P128,CN_OUTBOUND_Art7_002,HK_PDPO_DPP4_001,促进和规范数据跨境流动规定,香港《个人资料（私隐）条例》,部门规章,香港主体条例,跨法域,,2,CN->HK:2,并存（按孰严执行）:2,并行义务:2,contextual:2,GBAMC-DRAFT-0308,内地安全评估义务与香港保安措施义务分属不同法域，并行不悖，应同时遵守。,,,,,,
P129,CN_PIPL_Art39_001,MO_PDPA_Art19_002,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,2,CN->MO:2,并存（按孰严执行）:2,并行义务:2,none:1; contextual:1,GBAMC-DRAFT-0639,澳门PDPA第19条第2款个案决定与内地PIPL第39条告知单独同意并行。两法域义务不排斥，按孰严执行，义务累积。,,,,,,
P130,CN_PIPL_Art40_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,2,CN->HK:2,并存（按孰严执行）:2,并行义务:2,contextual:2,GBAMC-DRAFT-0244,内地境内存储与安全评估要求与香港使用限制原则并行，分属不同法域，义务累积。,,,,,,
P131,CN_PIPL_Art40_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,2,CN->MO:2,并存（按孰严执行）:2,并行义务:2,contextual:1; none:1,GBAMC-DRAFT-0752,内地关键信息基础设施或达量处理者须境内存储并安全评估；澳门例外转移须通知当局。两法域并行，义务并存。,,,,,,
P136,CN_CSSPG_001,HK_PDPO_DPP1_003,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,1,HK->CN:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0528,香港告知义务与内地敏感个人信息识别规则分属不同法域，义务并行不悖，应同时遵守，不构成冲突。,,,,,,
